rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695578,James Wood,WSH,ATL,2026-07-30T23:15:00Z,Scheduled,1,Grant Holmes,656550,R,66.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.6,50.1,30.9,88.7,80.0,56.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 15.3 HR allowed",EV profile; pitcher fly-ball pressure modest,19.97,57.84,94.93,106.3595,0.5672,0.2946,0.4051,76.63,66.71,31.03,26.27,30.3,0.2624,9.26,42.67,90.52,0.421,0.1733,27.39,,,Truist Park,
2,808959,Munetaka Murakami,CWS,NYY,2026-07-30T18:10:00Z,Scheduled,2,Ryan Weathers,677960,L,66.0,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",84.4,50.2,27.6,95.5,50.0,81.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 14.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.3,60.1,94.2,104.6904,0.521,0.298,0.378,75.1,53.7,43.8,39.9,23.0,0.307,9.67,42.2,89.6,0.4341,0.1834,26.11,,,Rate Field,
3,621566,Matt Olson,ATL,WSH,2026-07-30T23:15:00Z,Scheduled,3,Jake Irvin,663623,R,64.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",65.4,64.1,30.9,92.1,80.0,45.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.0% barrel, 16.3 HR allowed",EV profile; pitcher fly-ball pressure modest,14.4,51.48,92.88,103.9178,0.5025,0.2559,0.3579,74.6,47.82,37.3,32.29,28.3,0.2463,12.0,46.19,89.91,0.4714,0.2162,29.58,,,Truist Park,
4,699013,Esmerlyn Valdez,PIT,CIN,2026-07-30T23:10:00Z,Scheduled,4,Rhett Lowder,695076,R,63.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",82.1,51.9,39.3,90.4,50.0,25.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 9.7% barrel, 9.0 HR allowed",EV profile; pitcher fly-ball pressure modest,26.9,53.8,92.9,104.2419,0.54,0.314,0.37,74.7,49.0,32.1,42.3,14.0,0.391,9.7,40.2,90.8,0.462,0.189,27.2,,,Great American Ball Park,
5,686527,Dominic Canzone,SEA,LAD,2026-07-31T02:10:00Z,Scheduled,3,Roki Sasaki,808963,R,63.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",63.1,58.0,27.6,92.1,80.0,85.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 11.3% barrel, 15.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.71,48.58,92.3,103.0809,0.5323,0.25,0.3767,74.29,44.58,41.23,27.07,15.9,0.2419,11.31,44.35,90.32,0.4314,0.1915,28.56,,,UNIQLO Field at Dodger Stadium,
6,660271,Shohei Ohtani,LAD,SEA,2026-07-31T02:10:00Z,Scheduled,1,Bryan Woo,693433,R,62.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.9,40.3,27.6,88.7,80.0,48.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 16.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.81,55.2,94.06,104.4147,0.5979,0.3085,0.4152,75.03,53.01,46.84,32.9,32.6,0.2756,7.35,42.71,89.45,0.38,0.1478,27.71,,,UNIQLO Field at Dodger Stadium,
7,686948,Drake Baldwin,ATL,WSH,2026-07-30T23:15:00Z,Scheduled,1,Jake Irvin,663623,R,62.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.9,64.1,30.9,88.7,80.0,72.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.0% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.59,50.3,91.56,102.3783,0.5094,0.229,0.3761,75.02,53.22,31.52,24.2,19.7,0.2006,12.0,46.19,89.91,0.4714,0.2162,29.58,,,Truist Park,
8,664040,Brandon Lowe,PIT,CIN,2026-07-30T23:10:00Z,Scheduled,2,Rhett Lowder,695076,R,58.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.4,51.9,39.3,95.5,80.0,53.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.3,45.41,91.03,101.4256,0.4605,0.21,0.3371,73.73,40.3,47.35,32.92,24.7,0.2294,9.7,40.2,90.8,0.462,0.189,27.2,,,Great American Ball Park,
9,700250,Ben Rice,NYY,CWS,2026-07-30T18:10:00Z,Scheduled,2,Sean Burke,680732,R,58.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",65.6,40.4,27.6,95.5,80.0,47.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 16.0 HR allowed",EV profile; pitcher allows elevated contact,15.61,50.57,92.46,102.6178,0.5313,0.2576,0.3826,72.84,28.01,46.57,29.27,29.5,0.2867,8.12,37.31,88.9,0.387,0.1578,30.21,,,Rate Field,
10,671739,Michael Harris,ATL,WSH,2026-07-30T23:15:00Z,Scheduled,4,Jake Irvin,663623,R,58.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.5,64.1,30.9,90.4,80.0,37.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 12.0% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.06,47.6,90.83,103.4957,0.4814,0.1949,0.3423,74.72,47.19,36.57,23.68,19.3,0.1887,12.0,46.19,89.91,0.4714,0.2162,29.58,,,Truist Park,
11,805811,Bryce Eldridge,SF,SD,2026-07-31T01:40:00Z,Scheduled,3,JP Sears,676664,L,58.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",72.1,52.4,22.6,92.1,50.0,18.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,25,1,"Last 7 games: 2/25, 1 HR","same-side matchup; pitcher baseline 8.8% barrel, 12.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.6,58.23,93.43,103.4977,0.4883,0.2575,0.3629,73.07,28.57,41.91,37.47,7.7,0.1637,8.77,43.88,90.39,0.4313,0.1847,36.25,,,Petco Park,
12,660670,Ronald Acuna,ATL,WSH,2026-07-30T23:15:00Z,Scheduled,2,Jake Irvin,663623,R,58.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",59.1,64.1,30.9,95.5,50.0,12.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","same-side matchup; pitcher baseline 12.0% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.95,46.13,90.88,102.7048,0.4965,0.2419,0.3795,76.12,63.58,36.02,29.63,11.2,0.1804,12.0,46.19,89.91,0.4714,0.2162,29.58,,,Truist Park,
13,691406,Junior Caminero,TB,TEX,2026-07-30T16:10:00Z,Pre-Game,3,Cole Winn,668390,R,56.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",62.2,47.9,41.1,96.6,50.0,14.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 8.3% barrel, 5.8 HR allowed",EV profile; pitcher allows elevated contact,13.3,50.77,92.75,105.2727,0.4989,0.2285,0.3621,79.48,86.37,46.99,23.28,33.8,0.2647,8.26,45.23,89.23,0.4424,0.1854,32.22,None,72,Tropicana Field,
14,671277,Luis Garcia,WSH,ATL,2026-07-30T23:15:00Z,Scheduled,2,Grant Holmes,656550,R,56.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.4,50.1,30.9,95.5,80.0,61.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 15.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.82,45.31,91.04,101.6321,0.4931,0.2065,0.3488,73.38,35.84,40.8,21.7,20.2,0.2349,9.26,42.67,90.52,0.421,0.1733,27.39,,,Truist Park,
15,666018,Jonathan Aranda,TB,TEX,2026-07-30T16:10:00Z,Pre-Game,2,Cole Winn,668390,R,56.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.5,47.9,41.1,100.0,80.0,17.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,0,"Last 7 games: 7/30, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 5.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.22,47.71,91.6,101.3602,0.4716,0.2002,0.3652,70.08,11.92,30.61,30.2,14.0,0.1604,8.26,45.23,89.23,0.4424,0.1854,32.22,None,72,Tropicana Field,
16,571970,Max Muncy,LAD,SEA,2026-07-31T02:10:00Z,Scheduled,4,Bryan Woo,693433,R,55.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",57.0,40.3,27.6,90.4,80.0,65.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 16.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.74,46.53,90.6,101.3009,0.49,0.245,0.3628,71.38,14.27,52.97,35.09,20.4,0.241,7.35,42.71,89.45,0.38,0.1478,27.71,,,UNIQLO Field at Dodger Stadium,
