rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,TOR,2026-06-23T20:07:00Z,In Progress,2,Shane Bieber,669456,R,76.2,Tier 2,Best Overall,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.0,66.4,59.9,100.0,80.0,41.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","platoon edge; pitcher baseline 12.3% barrel, 8.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.37,53.46,94.56,105.1581,0.6687,0.3434,0.456,75.96,60.13,41.02,36.17,19.3,0.2683,12.3,48.2,93.2,0.465,0.204,25.4,R To L,76,Rogers Centre,
2,656941,Kyle Schwarber,PHI,WSH,2026-06-23T22:45:00Z,Pre-Game,2,PJ Poulin,676571,L,69.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",83.3,50.4,50.2,100.0,50.0,81.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 3.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,21.08,54.28,93.53,104.5439,0.5558,0.3092,0.3898,77.16,76.19,56.1,36.05,37.1,0.3363,8.7,46.59,91.33,0.4353,0.1797,28.7,L To R,71,Nationals Park,
3,701762,Nick Kurtz,ATH,SF,2026-06-24T01:45:00Z,Pre-Game,2,Robbie Ray,592662,L,69.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",77.3,57.4,50.8,95.5,50.0,87.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.1% barrel, 16.4 HR allowed",EV profile; pitcher allows elevated contact,18.36,56.14,93.82,105.6266,0.5188,0.2668,0.3874,77.97,79.56,33.41,30.84,24.1,0.2849,11.07,39.24,89.46,0.4396,0.2045,37.02,Out To CF,61,Oracle Park,
4,805811,Bryce Eldridge,SF,ATH,2026-06-24T01:45:00Z,Pre-Game,2,Aaron Civale,650644,R,68.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",71.6,58.1,50.8,100.0,80.0,34.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","platoon edge; pitcher baseline 9.8% barrel, 13.2 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.32,58.23,92.52,103.1784,0.5128,0.2631,0.3762,73.04,29.07,41.49,37.12,4.2,0.1742,9.8,45.33,90.18,0.4741,0.204,32.88,Out To CF,61,Oracle Park,
5,665742,Juan Soto,NYM,CHC,2026-06-23T23:10:00Z,Pre-Game,3,Edward Cabrera,665795,R,68.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",73.9,55.9,36.3,96.6,80.0,81.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.4% barrel, 14.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.75,51.59,93.45,103.4586,0.608,0.3084,0.4241,72.62,31.03,38.41,32.33,24.8,0.2704,11.4,43.46,90.93,0.4318,0.1742,23.58,In From LF,71,Citi Field,
6,621439,Byron Buxton,MIN,LAD,2026-06-23T23:40:00Z,Pre-Game,2,Justin Wrobleski,680736,L,63.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",72.0,39.5,38.1,100.0,78.0,77.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 6.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.75,50.65,91.38,102.7165,0.5238,0.273,0.3542,74.37,43.15,47.75,35.96,28.0,0.3108,6.25,45.42,90.95,0.4059,0.1458,27.02,In From RF,72,Target Field,
7,646240,Rafael Devers,SF,ATH,2026-06-24T01:45:00Z,Pre-Game,4,Aaron Civale,650644,R,63.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",53.6,58.1,50.8,94.9,80.0,68.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 13.2 HR allowed",EV profile; pitcher allows elevated contact,11.73,51.97,92.38,102.9654,0.4359,0.2063,0.3222,71.67,20.29,33.84,31.43,18.2,0.2046,9.8,45.33,90.18,0.4741,0.204,32.88,Out To CF,61,Oracle Park,
8,682998,Corbin Carroll,AZ,STL,2026-06-23T23:45:00Z,Pre-Game,3,Kyle Leahy,681517,R,62.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.2,60.2,35.1,96.6,80.0,52.3,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 11.1% barrel, 7.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.38,49.48,91.96,102.7296,0.5031,0.2341,0.3706,75.33,56.31,44.43,29.9,18.4,0.2708,11.06,48.72,91.55,0.4786,0.1915,23.03,In From RF,82,Busch Stadium,
9,676369,Nelson Velázquez,STL,AZ,2026-06-23T23:45:00Z,Pre-Game,3,Eduardo Rodriguez,593958,L,62.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.5,40.9,35.1,96.6,78.0,43.2,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,1,"Last 7 games: 4/14, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 13.8 HR allowed",EV profile; pitcher fly-ball pressure modest,13.6,68.2,93.9,102.613,0.598,0.29,0.421,74.8,53.7,45.5,27.3,2.0,0.258,8.06,35.55,88.27,0.4433,0.1797,25.79,In From RF,82,Busch Stadium,
10,694192,Jackson Chourio,MIL,CIN,2026-06-23T23:10:00Z,Pre-Game,1,Nick Lodolo,666157,L,61.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",53.4,48.9,75.3,93.2,78.0,21.8,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.43,46.08,91.33,102.3592,0.4673,0.2126,0.3308,74.6,48.33,30.8,29.27,13.3,0.2217,8.76,39.87,89.5,0.4692,0.1904,27.8,Out To RF,78,Great American Ball Park,
