rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,808959,Munetaka Murakami,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,3,Bailey Ober,641927,R,68.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.8,54.6,54.1,96.6,80.0,18.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,26,1,"Last 7 games: 2/26, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",lift-pull EV profile; pitcher allows elevated contact,19.2,57.1,93.9,104.4706,0.465,0.26,0.35,74.8,51.3,44.6,38.8,30.0,0.271,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
2,695491,Joshua Báez,STL,COL,2026-09-06T19:10:00Z,In Progress,7,Tanner Gordon,685299,R,66.0,Tier 3,Watch List,"Strong Barrel, Hot Hitter/Streak",73.1,60.3,65.2,64.3,50.0,81.7,Yes,Yes,6,Yes,Yes,MLB Stats API; RotoWire,order MLB 7 vs RotoWire 6,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,20,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.4% barrel, 16.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.9,52.3,93.6,102.949,0.5,0.281,0.329,77.4,72.5,45.5,36.4,7.0,0.357,10.38,41.97,90.59,0.4789,0.2104,33.88,R To L,84,Coors Field,
3,682987,Spencer Jones,NYY,SD,2026-09-06T20:10:00Z,In Progress,4,Michael King,650633,R,64.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",68.8,41.0,51.6,94.9,80.0,68.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 16.2 HR allowed",EV profile; pitcher fly-ball pressure modest,16.1,56.4,94.2,104.3936,0.45,0.21,0.329,77.3,72.9,32.2,34.7,9.0,0.199,9.44,34.11,87.17,0.4088,0.173,27.75,L To R,81,Petco Park,
4,699024,Leo Bernal,STL,COL,2026-09-06T19:10:00Z,In Progress,6,Tanner Gordon,685299,R,62.3,Tier 3,Watch List,Platoon Edge,56.1,58.5,65.2,76.2,75.0,50.3,Yes,Yes,5,Yes,Yes,MLB Stats API; RotoWire,order MLB 6 vs RotoWire 5,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,8,24,1,Contact streak: 8/24 over last 6 games,"switch hitter; pitcher baseline 10.4% barrel, 16.7 HR allowed",EV profile; pitcher allows elevated contact,6.3,68.8,96.6,103.3978,0.493,0.179,0.377,74.6,53.8,31.3,37.5,1.0,0.2,10.38,41.97,90.59,0.4789,0.2104,33.88,R To L,84,Coors Field,
5,676475,Alec Burleson,STL,COL,2026-09-06T19:10:00Z,In Progress,4,Tanner Gordon,685299,R,62.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",51.2,60.3,65.2,94.9,80.0,7.9,Yes,Yes,3,Yes,Yes,MLB Stats API; RotoWire,order MLB 4 vs RotoWire 3,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.27,47.2,91.56,101.8566,0.5011,0.2172,0.3625,73.21,34.35,43.89,27.47,20.1,0.1774,10.38,41.97,90.59,0.4789,0.2104,33.88,R To L,84,Coors Field,
6,700250,Ben Rice,NYY,SD,2026-09-06T20:10:00Z,In Progress,1,Michael King,650633,R,61.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.3,41.0,51.6,93.2,80.0,50.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 16.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.7,50.99,92.39,102.5627,0.5264,0.2541,0.3819,72.91,28.01,45.17,30.67,33.0,0.2601,9.44,34.11,87.17,0.4088,0.173,27.75,L To R,81,Petco Park,
7,695657,Colson Montgomery,CWS,MIN,2026-09-06T22:20:00Z,Pre-Game,5,Bailey Ober,641927,R,61.5,Tier 3,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",52.7,54.6,54.1,86.4,80.0,71.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.31,42.75,88.98,101.8632,0.4429,0.2262,0.3172,76.72,70.16,48.81,33.16,28.0,0.2466,10.41,36.93,88.83,0.4606,0.2098,32.32,L To R,76,Rate Field,
8,691023,Jordan Walker,STL,COL,2026-09-06T19:10:00Z,In Progress,5,Tanner Gordon,685299,R,61.0,Tier 3,Watch List,Strong Barrel,55.6,60.3,65.2,86.4,50.0,35.3,Yes,Yes,4,Yes,Yes,MLB Stats API; RotoWire,order MLB 5 vs RotoWire 4,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,1,"Last 7 games: 7/30, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 16.7 HR allowed",EV profile; pitcher allows elevated contact,12.58,49.23,92.44,104.5953,0.4442,0.1914,0.3277,78.87,82.98,37.96,24.05,21.4,0.1764,10.38,41.97,90.59,0.4789,0.2104,33.88,R To L,84,Coors Field,
9,695578,James Wood,WSH,LAD,2026-09-07T02:10:00Z,Scheduled,1,Justin Wrobleski,680736,L,60.0,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",81.4,47.2,27.6,88.7,50.0,14.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 7.8% barrel, 15.8 HR allowed",EV profile; pitcher fly-ball pressure modest,19.55,57.42,94.93,106.1949,0.5539,0.2834,0.4002,76.63,67.06,31.8,25.5,30.3,0.2519,7.79,44.86,90.6,0.4213,0.1598,28.63,,,UNIQLO Field at Dodger Stadium,
10,691406,Junior Caminero,TB,TEX,2026-09-06T18:35:00Z,In Progress,4,MacKenzie Gore,669022,L,59.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.1,45.2,42.1,94.9,78.0,36.5,Yes,Yes,3,Yes,Yes,MLB Stats API; RotoWire,order MLB 4 vs RotoWire 3,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,1,"Last 7 games: 7/29, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 18.6 HR allowed",EV profile; pitcher fly-ball pressure modest,13.3,50.91,92.89,105.2529,0.4961,0.2278,0.3579,79.27,84.34,45.45,23.14,40.1,0.257,9.06,42.21,89.49,0.3849,0.1474,27.93,None,74,Globe Life Field,
