rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,694673,Abimelec Ortiz,WSH,NYM,2026-08-16T17:40:00Z,Pre-Game,2,Christian Scott,681035,R,70.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.4,25.7,69.3,100.0,80.0,94.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.9,50.0,92.7,102.3106,0.677,0.375,0.417,76.6,70.6,53.6,39.3,4.0,0.361,6.4,35.1,87.7,0.351,0.126,25.7,Out To LF,81,Citi Field,
2,656941,Kyle Schwarber,PHI,MIN,2026-08-16T18:10:00Z,Pre-Game,1,Dean Kremer,665152,R,69.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.6,42.3,65.1,88.7,80.0,83.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 15.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.91,54.63,93.53,104.4912,0.5243,0.2833,0.3793,77.16,75.21,54.49,33.88,42.7,0.3006,7.86,34.96,87.4,0.434,0.196,34.84,Out To RF,74,Target Field,
3,808959,Munetaka Murakami,CWS,DET,2026-08-16T17:40:00Z,Pre-Game,2,Drew Anderson,623454,R,68.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.9,37.7,53.1,100.0,80.0,52.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 10.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.5,59.5,94.2,104.7472,0.506,0.288,0.366,74.8,50.2,41.6,40.0,27.0,0.304,8.3,38.9,90.3,0.355,0.139,24.4,R To L,76,Comerica Park,
4,596019,Francisco Lindor,NYM,WSH,2026-08-16T17:40:00Z,Pre-Game,2,Jake Irvin,663623,R,66.0,Tier 3,Watch List,"Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",48.2,63.9,69.3,100.0,75.0,72.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 12.7% barrel, 19.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.6,48.18,91.27,100.4606,0.4631,0.2052,0.3513,72.02,22.67,46.09,30.3,17.7,0.1983,12.7,44.37,89.21,0.4777,0.2246,31.05,Out To LF,81,Citi Field,
5,682998,Corbin Carroll,AZ,ATL,2026-08-16T17:35:00Z,Pre-Game,2,Bryce Elder,693821,R,65.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",57.1,42.6,74.9,100.0,80.0,70.6,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.9% barrel, 21.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.89,48.92,91.82,102.4434,0.4716,0.2187,0.3538,75.16,54.54,43.59,30.81,21.9,0.2554,6.89,41.84,90.07,0.4137,0.1596,25.94,Out To LF,92,Truist Park,
6,621566,Matt Olson,ATL,AZ,2026-08-16T17:35:00Z,Pre-Game,3,Michael Soroka,647336,R,65.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",67.2,35.6,74.9,96.6,80.0,45.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 7.8 HR allowed",EV profile; pitcher fly-ball pressure modest,15.31,50.99,92.74,103.8417,0.5116,0.2629,0.3614,74.53,47.75,37.86,32.99,33.2,0.261,8.03,35.43,88.08,0.3937,0.1546,28.64,Out To LF,92,Truist Park,
7,681715,Heriberto Hernández,MIA,CIN,2026-08-16T17:40:00Z,Pre-Game,2,Nick Lodolo,666157,L,64.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",53.9,47.6,82.8,100.0,78.0,36.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.05,48.27,91.32,101.7397,0.4623,0.2166,0.3403,74.28,46.58,45.91,30.06,14.9,0.2056,8.83,39.45,89.92,0.4489,0.1778,25.56,Out To LF,87,Great American Ball Park,
8,701398,Sal Stewart,CIN,MIA,2026-08-16T17:40:00Z,Pre-Game,2,Eury Pérez,691587,R,64.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",60.3,44.1,82.8,100.0,50.0,53.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.96,42.98,91.69,101.4576,0.5187,0.2561,0.3632,72.24,27.07,38.43,32.51,19.7,0.2389,9.42,41.6,88.89,0.366,0.1588,30.59,Out To LF,87,Great American Ball Park,
9,677800,Wilyer Abreu,BOS,PIT,2026-08-16T17:35:00Z,Pre-Game,3,Lake Bachar,669199,R,63.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.9,48.4,64.3,96.6,80.0,64.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 11.4 HR allowed",fly-ball profile; pitcher allows elevated contact,13.07,44.55,90.31,101.4627,0.4897,0.2334,0.3511,73.89,38.73,38.11,37.45,22.0,0.2185,10.07,37.79,89.6,0.399,0.1843,32.34,Out To CF,78,PNC Park,
10,670541,Yordan Alvarez,HOU,SEA,2026-08-16T23:20:00Z,Scheduled,2,Bryan Woo,693433,R,63.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.6,41.2,27.6,95.5,80.0,31.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 7.4% barrel, 16.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.6,53.32,94.56,105.0368,0.6435,0.3273,0.442,76.1,61.66,41.93,36.59,27.0,0.2585,7.42,42.99,89.52,0.3814,0.1492,28.41,,,Daikin Park,
