rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,MIN,2026-08-16T18:10:00Z,Scheduled,1,Dean Kremer,665152,R,63.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.6,42.3,27.1,88.7,80.0,83.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 15.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.91,54.63,93.53,104.4912,0.5243,0.2833,0.3793,77.16,75.21,54.49,33.88,42.7,0.3006,7.86,34.96,87.4,0.434,0.196,34.84,,,Target Field,
2,808959,Munetaka Murakami,CWS,DET,2026-08-16T17:40:00Z,Scheduled,2,Drew Anderson,623454,R,63.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.9,37.7,27.6,95.5,80.0,52.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 10.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.5,59.5,94.2,104.7472,0.506,0.288,0.366,74.8,50.2,41.6,40.0,27.0,0.304,8.3,38.9,90.3,0.355,0.139,24.4,,,Comerica Park,
3,677800,Wilyer Abreu,BOS,PIT,2026-08-16T17:35:00Z,Pre-Game,3,Lake Bachar,669199,R,63.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.9,48.4,64.3,96.6,80.0,64.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 11.4 HR allowed",fly-ball profile; pitcher allows elevated contact,13.07,44.55,90.31,101.4627,0.4897,0.2334,0.3511,73.89,38.73,38.11,37.45,22.0,0.2185,10.07,37.79,89.6,0.399,0.1843,32.34,Out To CF,78,PNC Park,
4,670541,Yordan Alvarez,HOU,SEA,2026-08-16T23:20:00Z,Scheduled,2,Bryan Woo,693433,R,63.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.6,41.2,27.6,95.5,80.0,31.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 7.4% barrel, 16.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.6,53.32,94.56,105.0368,0.6435,0.3273,0.442,76.1,61.66,41.93,36.59,27.0,0.2585,7.42,42.99,89.52,0.3814,0.1492,28.41,,,Daikin Park,
5,694673,Abimelec Ortiz,WSH,NYM,2026-08-16T17:40:00Z,Scheduled,2,Christian Scott,681035,R,62.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.4,25.7,24.8,95.5,80.0,94.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.9,50.0,92.7,102.3106,0.677,0.375,0.417,76.6,70.6,53.6,39.3,4.0,0.361,6.4,35.1,87.7,0.351,0.126,25.7,,,Citi Field,
6,624413,Pete Alonso,BAL,TB,2026-08-16T16:15:00Z,Pre-Game,2,Freddy Peralta,642547,R,61.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",72.4,35.0,41.1,95.5,50.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,15,28,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 7.1% barrel, 20.3 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,55.8,93.99,104.2109,0.5496,0.271,0.3888,74.78,48.65,35.66,31.02,30.3,0.2317,7.06,37.51,87.93,0.375,0.1438,27.29,None,72,Tropicana Field,
7,695506,Jac Caglianone,KC,LAA,2026-08-16T20:07:00Z,Scheduled,3,Ryan Johnson,696270,R,60.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.7,48.2,28.2,92.1,80.0,100.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,27,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 11.0 HR allowed",EV profile; pitcher allows elevated contact,13.96,51.5,92.13,104.9668,0.4912,0.2227,0.3504,77.33,75.39,43.37,22.54,17.5,0.1954,10.32,36.07,87.4,0.45,0.1938,33.11,,,Angel Stadium,
8,660271,Shohei Ohtani,LAD,MIL,2026-08-16T20:10:00Z,Scheduled,1,Logan Henderson,701656,R,60.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.6,35.4,27.6,88.7,80.0,32.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 7.2 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.6,54.22,93.85,104.433,0.5937,0.3064,0.411,74.96,52.59,46.56,32.62,35.4,0.2791,8.81,35.25,88.66,0.3506,0.1393,30.02,,,UNIQLO Field at Dodger Stadium,
9,691406,Junior Caminero,TB,BAL,2026-08-16T16:15:00Z,Pre-Game,3,Trevor Rogers,669432,L,58.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",63.7,37.4,41.1,96.6,78.0,43.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 10.2 HR allowed",EV profile; pitcher fly-ball pressure modest,13.72,50.7,92.68,105.2354,0.5059,0.239,0.3628,79.41,85.32,45.66,23.91,38.0,0.2696,7.32,41.82,89.21,0.3879,0.1475,24.53,None,72,Tropicana Field,
10,596019,Francisco Lindor,NYM,WSH,2026-08-16T17:40:00Z,Scheduled,2,Jake Irvin,663623,R,58.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",48.2,63.9,24.8,95.5,75.0,72.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 12.7% barrel, 19.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.6,48.18,91.27,100.4606,0.4631,0.2052,0.3513,72.02,22.67,46.09,30.3,17.7,0.1983,12.7,44.37,89.21,0.4777,0.2246,31.05,,,Citi Field,
11,676475,Alec Burleson,STL,CHC,2026-08-16T19:15:00Z,Scheduled,3,Edward Cabrera,665795,R,58.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",54.0,54.1,29.8,92.1,80.0,60.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 14.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.9,47.69,91.7,102.0138,0.5207,0.2298,0.3744,73.14,33.37,43.61,27.89,19.4,0.19,10.84,43.81,91.0,0.4241,0.1686,23.86,,,Wrigley Field,
