rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695578,James Wood,WSH,SEA,2026-06-13T20:05:00Z,In Progress,1,Luis Castillo,622491,R,76.6,Tier 2,Best Overall,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",86.3,57.8,70.2,93.2,80.0,68.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 12.5 HR allowed",EV profile; pitcher fly-ball pressure modest,22.7,57.91,95.42,106.721,0.5868,0.3128,0.4121,76.21,63.68,28.79,28.37,22.6,0.2554,10.82,47.03,91.0,0.439,0.18,28.21,Out To RF,88,Nationals Park,
2,621439,Byron Buxton,MIN,STL,2026-06-13T18:10:00Z,In Progress,3,Matthew Liberatore,669461,L,72.0,Tier 2,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",69.8,55.9,66.6,96.6,78.0,99.5,Yes,Yes,2,Yes,Yes,MLB Stats API; RotoWire,order MLB 3 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 13.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.61,49.53,91.17,102.4438,0.507,0.2625,0.3465,74.3,43.15,48.03,36.17,25.2,0.3094,9.76,43.2,91.3,0.4664,0.1864,29.01,Out To LF,71,Target Field,
3,670541,Yordan Alvarez,HOU,KC,2026-06-13T23:10:00Z,Pre-Game,2,Noah Cameron,702070,L,71.5,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",86.3,42.1,65.2,100.0,50.0,93.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 9.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.51,53.81,94.84,105.4791,0.6855,0.3574,0.4637,75.96,60.48,41.93,37.08,18.6,0.2837,8.4,39.92,89.02,0.4198,0.1688,25.96,Out To CF,86,Kauffman Stadium,
4,624413,Pete Alonso,BAL,SD,2026-06-13T20:05:00Z,In Progress,3,Randy Vásquez,681190,R,70.8,Tier 2,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",70.5,69.5,59.6,96.6,50.0,77.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 12.7% barrel, 11.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.28,55.31,94.48,103.9498,0.5377,0.2647,0.3769,74.81,48.92,35.94,31.37,21.9,0.224,12.72,44.69,90.64,0.5286,0.2378,29.51,L To R,86,Oriole Park at Camden Yards,
5,660271,Shohei Ohtani,LAD,CWS,2026-06-13T20:10:00Z,In Progress,1,Sean Burke,680732,R,69.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",79.6,39.6,62.1,93.2,80.0,91.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 11.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.46,54.78,93.92,104.0823,0.5853,0.2938,0.4201,74.89,52.03,49.71,32.97,25.6,0.2686,7.77,38.15,89.32,0.3961,0.1557,29.3,R To L,86,Rate Field,
6,676369,Nelson Velázquez,STL,MIN,2026-06-13T18:10:00Z,In Progress,4,Connor Prielipp,687570,L,69.3,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.5,39.9,66.6,94.9,78.0,50.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,1,Contact streak: 6/18 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 4.0 HR allowed",EV profile; pitcher fly-ball pressure modest,17.6,64.7,92.4,102.7415,0.689,0.34,0.463,74.0,47.1,58.8,23.5,2.0,0.304,9.2,36.4,89.7,0.384,0.162,26.4,Out To LF,71,Target Field,
7,665742,Juan Soto,NYM,ATL,2026-06-13T20:10:00Z,In Progress,3,Martín Pérez,527048,L,67.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",77.7,45.1,67.8,96.6,50.0,54.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 6.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.22,51.59,93.31,103.4046,0.6192,0.3245,0.4227,72.83,32.71,39.32,33.31,23.4,0.269,9.89,39.61,88.76,0.4199,0.1737,27.07,Out To RF,88,Citi Field,
8,701762,Nick Kurtz,ATH,COL,2026-06-14T02:05:00Z,Scheduled,2,Kyle Freeland,607536,L,66.0,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",78.0,59.2,27.6,95.5,50.0,81.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 15.7 HR allowed",EV profile; pitcher fly-ball pressure modest,18.64,55.51,93.75,105.4265,0.5244,0.2724,0.3902,77.83,78.02,33.62,31.68,22.0,0.2758,9.61,45.06,90.89,0.5038,0.2001,28.66,,,Las Vegas Ballpark,
9,656941,Kyle Schwarber,PHI,MIL,2026-06-13T23:10:00Z,Pre-Game,1,Shane Drohan,675660,L,65.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",82.4,37.6,63.1,93.2,50.0,44.8,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","same-side matchup; pitcher baseline 9.4% barrel, 2.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,21.5,53.37,93.6,104.3619,0.5446,0.3043,0.3849,77.09,75.91,55.68,36.33,33.6,0.3293,9.4,39.6,88.6,0.357,0.137,29.2,L To R,84,American Family Field,
10,695731,Braden Montgomery,CWS,LAD,2026-06-13T20:10:00Z,In Progress,5,Yoshinobu Yamamoto,808967,R,64.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",82.6,28.7,62.1,86.4,75.0,46.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,4,13,1,"Last 4 games: 4/13, 1 HR","switch hitter; pitcher baseline 6.8% barrel, 10.5 HR allowed",EV profile; pitcher fly-ball pressure modest,22.2,77.8,93.9,101.5941,0.635,0.285,0.44,71.0,14.3,33.3,33.3,1.0,0.417,6.82,37.88,88.3,0.3565,0.1298,23.71,R To L,86,Rate Field,
