rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,691181,Emmanuel Rodriguez,MIN,LAA,2026-09-19T01:38:00Z,Pre-Game,6,Grayson Rodriguez,680570,R,72.8,Tier 2,Watch List,"Elite Power, Strong Barrel, Platoon Edge",92.7,53.8,65.2,76.2,80.0,32.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,5,23,1,"Last 6 games: 5/23, 1 HR","platoon edge; pitcher baseline 8.9% barrel, 14.0 HR allowed",EV profile; pitcher fly-ball pressure modest,26.7,66.7,96.0,104.7533,0.654,0.333,0.424,77.1,77.8,33.3,33.3,1.0,0.261,8.9,45.6,90.4,0.465,0.191,28.1,Out To CF,74,Angel Stadium,
2,805811,Bryce Eldridge,SF,LAD,2026-09-19T02:15:00Z,Pre-Game,2,Tyler Glasnow,607192,R,64.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",68.7,38.1,61.6,100.0,80.0,48.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 7.2 HR allowed",EV profile; pitcher fly-ball pressure modest,15.55,57.18,93.57,103.331,0.4799,0.2442,0.3608,72.86,28.22,37.71,36.28,11.9,0.156,8.84,39.29,89.74,0.3422,0.1406,27.8,Out To RF,70,UNIQLO Field at Dodger Stadium,
3,665019,Kody Clemens,MIN,LAA,2026-09-19T01:38:00Z,Pre-Game,3,Grayson Rodriguez,680570,R,61.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.4,53.8,65.2,96.6,80.0,20.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.65,47.04,91.92,101.4804,0.4601,0.2097,0.3345,72.06,14.49,46.43,33.32,23.9,0.2252,8.9,45.6,90.4,0.465,0.191,28.1,Out To CF,74,Angel Stadium,
4,545361,Mike Trout,LAA,MIN,2026-09-19T01:38:00Z,Pre-Game,2,Connor Prielipp,687570,L,61.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.5,39.0,65.2,100.0,78.0,28.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.8,46.5,90.2,102.8409,0.4824,0.2348,0.3727,74.49,46.37,35.6,31.07,22.5,0.1895,6.8,41.5,90.2,0.39,0.149,26.0,Out To CF,74,Angel Stadium,
5,669257,Will Smith,LAD,SF,2026-09-19T02:15:00Z,Pre-Game,2,Cesar Perdomo,702885,L,58.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.3,42.1,61.6,100.0,78.0,41.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","platoon edge; pitcher baseline 6.5% barrel, 2.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.06,42.13,89.83,100.167,0.4848,0.2158,0.3773,69.84,6.66,31.02,39.01,10.0,0.159,6.5,47.8,92.0,0.418,0.152,23.9,Out To RF,70,UNIQLO Field at Dodger Stadium,
6,605137,Josh Bell,MIN,LAA,2026-09-19T01:38:00Z,Pre-Game,5,Grayson Rodriguez,680570,R,58.5,Longshot,Watch List,"Strong Barrel, Platoon Edge",44.7,52.3,65.2,86.4,75.0,50.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 8.9% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.42,43.64,89.91,101.0561,0.4556,0.201,0.3408,72.26,28.22,40.87,27.06,20.6,0.1709,8.9,45.6,90.4,0.465,0.191,28.1,Out To CF,74,Angel Stadium,
7,606192,Teoscar Hernández,LAD,SF,2026-09-19T02:15:00Z,Pre-Game,3,Cesar Perdomo,702885,L,57.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",46.2,42.1,61.6,96.6,78.0,49.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.5% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.01,45.54,90.34,101.6401,0.4427,0.1885,0.331,72.62,26.74,35.41,28.82,18.0,0.1755,6.5,47.8,92.0,0.418,0.152,23.9,Out To RF,70,UNIQLO Field at Dodger Stadium,
8,665052,Griffin Conine,MIA,SD,2026-09-19T01:40:00Z,Pre-Game,4,Nick Pivetta,601713,R,57.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",56.2,43.8,36.1,94.9,80.0,48.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 7.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.08,49.22,91.11,103.0946,0.4516,0.2068,0.3412,74.26,44.04,41.62,23.48,11.8,0.2042,9.92,39.05,89.11,0.3715,0.1603,32.18,In From LF,71,Petco Park,
9,669065,Kyle Stowers,MIA,SD,2026-09-19T01:40:00Z,Pre-Game,1,Nick Pivetta,601713,R,57.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.9,43.8,36.1,93.2,80.0,7.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,0,"Last 7 games: 5/30, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 7.3 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.48,55.22,92.01,103.3111,0.46,0.2237,0.3393,75.28,54.18,45.43,32.69,20.8,0.2266,9.92,39.05,89.11,0.3715,0.1603,32.18,In From LF,71,Petco Park,
10,700250,Ben Rice,NYY,AZ,2026-09-19T01:40:00Z,Pre-Game,4,Eduardo Rodriguez,593958,L,57.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",63.5,37.1,41.7,94.9,50.0,68.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 18.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.42,50.78,92.39,102.4823,0.5215,0.2513,0.3805,72.84,27.38,44.54,31.02,34.4,0.2566,7.64,33.66,87.57,0.4181,0.1643,26.91,None,72,Chase Field,
