rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,800543,Josue De Paula,LAD,CIN,2026-09-15T22:40:00Z,Pre-Game,1,Rhett Lowder,695076,R,73.3,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",90.5,53.3,57.8,93.2,80.0,33.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,2,9,1,"Last 4 games: 2/9, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 17.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.2,66.7,94.8,101.6055,0.653,0.378,0.499,73.6,38.9,44.4,33.3,1.0,0.445,9.9,39.0,90.1,0.464,0.192,28.1,In From RF,91,Great American Ball Park,
2,624413,Pete Alonso,BAL,NYM,2026-09-15T23:10:00Z,Pre-Game,2,Sean Manaea,640455,L,67.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",71.6,54.2,44.3,100.0,78.0,60.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 18.6 HR allowed",EV profile; pitcher fly-ball pressure modest,15.33,55.38,93.71,104.1598,0.5496,0.2696,0.3909,74.78,48.3,36.57,30.39,35.9,0.2352,10.37,41.76,89.38,0.4444,0.1897,28.61,L To R,68,Citi Field,
3,700250,Ben Rice,NYY,MIN,2026-09-15T23:40:00Z,Pre-Game,1,Bailey Ober,641927,R,66.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",63.9,53.6,61.6,93.2,80.0,62.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 21.6 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.63,50.64,92.39,102.4689,0.5236,0.2527,0.3812,72.91,27.59,44.75,30.88,34.4,0.2594,10.13,37.07,88.9,0.455,0.2056,32.53,Out To RF,69,Target Field,
4,665487,Fernando Tatis,SD,COL,2026-09-16T00:40:00Z,Pre-Game,1,Kyle Freeland,607536,L,66.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",57.4,58.6,63.2,88.7,78.0,81.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.2% barrel, 23.4 HR allowed",EV profile; pitcher fly-ball pressure modest,12.12,53.48,93.09,104.5136,0.4915,0.2023,0.3749,75.65,58.12,34.87,22.08,22.9,0.1745,10.24,43.87,90.47,0.4751,0.1931,28.24,R To L,74,Coors Field,
5,682987,Spencer Jones,NYY,MIN,2026-09-15T23:40:00Z,Pre-Game,5,Bailey Ober,641927,R,65.4,Tier 3,Watch List,"Strong Barrel, Platoon Edge",67.0,53.6,61.6,86.4,80.0,38.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,0,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 21.6 HR allowed",EV profile; pitcher allows elevated contact,15.6,55.2,94.1,104.5065,0.449,0.203,0.333,77.2,72.1,34.1,35.6,9.0,0.184,10.13,37.07,88.9,0.455,0.2056,32.53,Out To RF,69,Target Field,
6,621566,Matt Olson,ATL,CHC,2026-09-15T23:40:00Z,Pre-Game,3,Kevin Gausman,592332,R,65.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",66.2,41.9,65.8,96.6,80.0,53.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 23.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.61,52.25,92.95,103.7159,0.5018,0.2545,0.3558,74.53,47.68,38.14,33.34,36.0,0.2435,7.73,39.93,88.95,0.4077,0.1613,26.16,Out To RF,78,Wrigley Field,
7,699024,Leo Bernal,STL,SF,2026-09-15T23:45:00Z,Pre-Game,5,Blade Tidwell,694918,R,64.7,Tier 3,Watch List,"Strong Barrel, Platoon Edge",71.2,36.2,68.6,86.4,75.0,66.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 8.9% barrel, 5.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,11.9,69.0,95.1,103.1654,0.577,0.254,0.405,74.4,40.0,42.9,38.1,3.0,0.231,8.89,34.05,87.92,0.4087,0.1579,27.26,Out To LF,91,Busch Stadium,
8,808959,Munetaka Murakami,CWS,CLE,2026-09-15T22:40:00Z,Pre-Game,4,Foster Griffin,656492,L,64.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",74.2,41.6,73.1,94.9,50.0,18.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,1,"Last 7 games: 2/22, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 23.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.7,56.6,93.8,104.2922,0.447,0.248,0.342,74.7,50.1,46.0,38.3,31.0,0.261,8.7,37.2,88.0,0.417,0.157,25.6,Out To CF,81,Progressive Field,
9,665742,Juan Soto,NYM,BAL,2026-09-15T23:10:00Z,Pre-Game,2,Shane Baz,669358,R,63.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",70.2,40.8,44.3,100.0,80.0,57.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 17.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.26,50.05,92.89,103.0337,0.5849,0.2944,0.4178,72.76,32.68,39.67,31.98,30.4,0.2557,7.54,40.94,89.77,0.3923,0.1483,25.85,L To R,68,Citi Field,
10,682985,Riley Greene,DET,TOR,2026-09-15T23:07:00Z,Pre-Game,4,Braydon Fisher,680755,R,63.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.1,36.1,65.4,94.9,80.0,81.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,47.04,90.25,102.59,0.5022,0.2445,0.3607,75.6,57.94,38.91,33.59,24.8,0.2098,9.21,37.87,87.82,0.3566,0.1398,27.99,Out To CF,70,Rogers Centre,
