rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,682987,Spencer Jones,NYY,SEA,2026-08-13T17:35:00Z,Pre-Game,3,Logan Gilbert,669302,R,68.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",69.4,50.5,79.7,96.6,80.0,8.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 19.3 HR allowed",EV profile; pitcher fly-ball pressure modest,14.7,58.1,94.2,103.5647,0.448,0.222,0.332,77.8,79.0,28.0,38.7,5.0,0.185,9.86,42.05,90.38,0.3908,0.1645,29.31,Out To RF,83,Yankee Stadium,
2,700250,Ben Rice,NYY,SEA,2026-08-13T17:35:00Z,Pre-Game,2,Logan Gilbert,669302,R,68.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",64.9,50.5,79.7,100.0,80.0,25.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 19.3 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,50.78,92.46,102.5902,0.5222,0.2527,0.3784,72.91,27.94,46.36,29.9,30.2,0.2727,9.86,42.05,90.38,0.3908,0.1645,29.31,Out To RF,83,Yankee Stadium,
3,694673,Abimelec Ortiz,WSH,CHC,2026-08-13T20:05:00Z,Scheduled,2,Kevin Gausman,592332,R,65.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.7,39.7,28.2,95.5,80.0,63.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 17.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.0,47.6,92.0,101.7824,0.676,0.377,0.418,76.3,66.7,57.1,42.9,3.0,0.384,7.66,39.58,88.6,0.3986,0.1557,26.58,,,Nationals Park,
4,663757,Trent Grisham,NYY,SEA,2026-08-13T17:35:00Z,Pre-Game,1,Logan Gilbert,669302,R,64.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",48.8,50.5,79.7,93.2,80.0,83.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 19.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.4,45.84,90.82,100.9016,0.4581,0.2101,0.3497,70.72,8.95,46.75,30.56,20.7,0.2059,9.86,42.05,90.38,0.3908,0.1645,29.31,Out To RF,83,Yankee Stadium,
5,656941,Kyle Schwarber,PHI,MIN,2026-08-13T23:30:00Z,Scheduled,1,Taj Bradley,671737,R,64.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",77.2,46.8,27.6,88.7,80.0,72.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 17.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.42,54.28,93.46,104.5107,0.5208,0.2798,0.3793,77.16,75.21,54.98,33.18,41.3,0.2957,8.59,43.75,90.39,0.3854,0.1561,28.77,,,Field of Dreams,
6,677800,Wilyer Abreu,BOS,TOR,2026-08-13T19:07:00Z,Pre-Game,5,Max Scherzer,453286,R,63.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",54.4,56.0,66.9,81.9,80.0,66.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.4% barrel, 13.4 HR allowed",fly-ball profile; pitcher allows elevated contact,12.72,43.99,90.24,101.3033,0.4799,0.2271,0.3469,73.89,38.73,37.34,37.87,21.3,0.2129,11.42,37.57,88.23,0.4771,0.2153,31.92,Out To RF,75,Rogers Centre,
7,671277,Luis García Jr.,NYY,SEA,2026-08-13T17:35:00Z,Pre-Game,4,Logan Gilbert,669302,R,62.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",49.6,50.5,79.7,94.9,80.0,33.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 19.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.24,45.94,91.11,101.8473,0.4924,0.2065,0.3481,73.66,38.36,41.64,21.91,21.6,0.237,9.86,42.05,90.38,0.3908,0.1645,29.31,Out To RF,83,Yankee Stadium,
8,575929,Willson Contreras,BOS,TOR,2026-08-13T19:07:00Z,Pre-Game,4,Max Scherzer,453286,R,62.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.3,56.0,66.9,90.4,50.0,34.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","same-side matchup; pitcher baseline 11.4% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.46,46.69,90.53,103.0427,0.5048,0.2429,0.379,76.77,69.01,44.35,29.61,22.8,0.2313,11.42,37.57,88.23,0.4771,0.2153,31.92,Out To RF,75,Rogers Centre,
9,680664,Eduardo Valencia,DET,CLE,2026-08-13T17:10:00Z,Pre-Game,4,Parker Messick,800048,L,62.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",84.5,20.2,47.6,94.9,78.0,40.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,0,Contact streak: 7/18 over last 7 games,"platoon edge; pitcher baseline 5.4% barrel, 10.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,30.0,60.0,91.2,103.2988,0.634,0.35,0.4,72.9,24.4,33.3,30.0,4.0,0.415,5.38,32.04,87.54,0.3463,0.1191,21.12,L To R,77,Comerica Park,
10,660271,Shohei Ohtani,LAD,MIL,2026-08-14T02:10:00Z,Scheduled,1,Shane Drohan,675660,L,60.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",80.7,35.4,27.6,88.7,50.0,78.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 9.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.67,54.15,93.85,104.4046,0.5958,0.3064,0.4131,74.96,52.66,47.05,32.41,35.4,0.2784,8.7,37.2,88.0,0.362,0.132,29.3,,,UNIQLO Field at Dodger Stadium,
