rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,WSH,2026-07-08T22:45:00Z,Pre-Game,2,Foster Griffin,656492,L,72.1,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",85.4,46.4,64.7,100.0,50.0,92.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 10.5% barrel, 17.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.3,53.46,94.77,105.1819,0.6603,0.3413,0.4483,76.1,61.11,40.95,37.78,22.1,0.2627,10.5,37.6,87.9,0.413,0.171,26.5,Out To LF,81,Nationals Park,
2,695578,James Wood,WSH,HOU,2026-07-08T22:45:00Z,Pre-Game,1,Spencer Arrighetti,681293,R,71.7,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.5,35.4,64.7,93.2,80.0,100.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 8.8 HR allowed",EV profile; pitcher fly-ball pressure modest,20.95,59.03,95.0,106.4394,0.5805,0.3072,0.4107,76.49,65.71,29.84,26.69,26.8,0.261,7.82,34.53,88.12,0.3973,0.1581,28.65,Out To LF,81,Nationals Park,
3,665742,Juan Soto,NYM,KC,2026-07-08T23:10:00Z,Pre-Game,2,Steven Cruz,674444,R,68.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",73.5,38.1,65.3,100.0,80.0,79.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 7.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.89,50.82,93.1,103.2667,0.6122,0.3098,0.4311,72.48,29.56,39.32,32.4,26.9,0.2718,9.5,33.89,89.29,0.3766,0.1521,24.92,Out To LF,77,Citi Field,
4,656941,Kyle Schwarber,PHI,CIN,2026-07-08T23:10:00Z,Pre-Game,2,Chase Burns,695505,R,68.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.7,40.5,51.8,100.0,80.0,40.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 9.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.89,55.75,93.81,104.8008,0.5453,0.2973,0.3877,77.16,76.05,55.33,34.58,38.5,0.3174,9.08,39.75,89.43,0.3546,0.1467,28.8,In From RF,87,Great American Ball Park,
5,545361,Mike Trout,LAA,TEX,2026-07-09T00:05:00Z,Pre-Game,2,MacKenzie Gore,669022,L,66.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",73.6,45.0,41.1,100.0,78.0,87.0,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 12.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,19.44,50.56,91.11,103.665,0.5342,0.2831,0.3951,74.77,48.78,39.38,34.08,19.7,0.2287,8.78,44.1,90.05,0.387,0.1488,28.07,None,72,Globe Life Field,
6,621566,Matt Olson,ATL,PIT,2026-07-08T22:40:00Z,Pre-Game,3,Jared Jones,683003,R,66.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.4,44.3,62.8,96.6,80.0,73.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 5.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.19,52.32,93.02,104.0424,0.5137,0.2601,0.3628,74.67,48.58,36.67,32.64,25.5,0.254,8.3,40.5,90.8,0.428,0.181,23.8,Out To RF,85,PNC Park,
7,699013,Esmerlyn Valdez,PIT,ATL,2026-07-08T22:40:00Z,Pre-Game,4,Grant Holmes,656550,R,66.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",75.7,50.5,62.8,94.9,50.0,33.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,0,Contact streak: 10/29 over last 7 games,"same-side matchup; pitcher baseline 9.3% barrel, 15.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,26.1,47.8,90.3,103.5728,0.552,0.309,0.365,74.8,49.3,23.9,39.1,6.0,0.338,9.33,43.16,90.52,0.4189,0.1761,27.11,Out To RF,85,PNC Park,
8,624413,Pete Alonso,BAL,CHC,2026-07-08T22:35:00Z,Pre-Game,4,Colin Rea,607067,R,65.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",68.7,55.1,70.6,94.9,50.0,18.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 15.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.35,54.4,93.92,103.9255,0.5293,0.2584,0.3783,74.95,50.04,38.11,30.81,24.7,0.2247,10.65,41.42,89.87,0.4632,0.1945,25.91,Out To LF,83,Oriole Park at Camden Yards,
9,676369,Nelson Velázquez,STL,MIL,2026-07-08T23:45:00Z,Pre-Game,4,Kyle Harrison,690986,L,64.8,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",75.6,30.4,63.1,94.9,78.0,56.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 7.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,12.2,65.9,94.5,102.8459,0.617,0.309,0.423,74.9,56.9,46.3,34.1,4.0,0.289,6.24,37.17,89.37,0.3565,0.1301,28.79,Out To LF,88,Busch Stadium,
10,691718,Pete Crow-Armstrong,CHC,BAL,2026-07-08T22:35:00Z,Pre-Game,1,Dean Kremer,665152,R,64.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",52.7,50.6,70.6,93.2,80.0,81.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.9% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.42,47.2,90.13,101.8323,0.4799,0.2211,0.3525,74.17,44.11,49.11,34.45,22.6,0.2326,10.94,34.05,87.75,0.4466,0.217,33.51,Out To LF,83,Oriole Park at Camden Yards,
