rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,621566,Matt Olson,ATL,COL,2026-08-28T23:15:00Z,Scheduled,3,Tomoyuki Sugano,608372,R,65.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",68.1,72.1,30.9,92.1,80.0,28.1,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","platoon edge; pitcher baseline 12.6% barrel, 28.1 HR allowed",EV profile; pitcher fly-ball pressure modest,15.45,51.2,92.88,103.8731,0.5158,0.2657,0.3628,74.6,47.96,37.86,33.34,34.6,0.2582,12.64,42.46,90.63,0.5534,0.2469,29.86,,,Truist Park,
2,624413,Pete Alonso,BAL,ATH,2026-08-29T01:40:00Z,Scheduled,2,,,,62.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",73.5,41.2,30.9,95.5,60.0,95.9,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,28,3,Hot streak: 3 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.54,56.08,93.99,104.2993,0.5594,0.2773,0.393,74.78,49.14,35.94,30.88,33.8,0.2436,,,,,,,,,Sutter Health Park,
3,686948,Drake Baldwin,ATL,COL,2026-08-28T23:15:00Z,Scheduled,1,Tomoyuki Sugano,608372,R,62.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",56.7,72.1,30.9,88.7,80.0,40.7,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 12.6% barrel, 28.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.4,51.14,91.77,102.3621,0.4933,0.2171,0.3663,75.3,56.02,32.64,24.83,20.4,0.1824,12.64,42.46,90.63,0.5534,0.2469,29.86,,,Truist Park,
4,660271,Shohei Ohtani,LAD,DET,2026-08-28T22:40:00Z,Scheduled,1,Drew Anderson,623454,R,60.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.7,40.4,27.6,88.7,80.0,4.2,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 13.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.53,54.22,93.92,104.5212,0.5965,0.3085,0.4124,75.03,53.29,46.35,32.13,37.5,0.2826,8.6,38.6,90.2,0.369,0.148,25.1,,,Comerica Park,
5,670541,Yordan Alvarez,HOU,NYM,2026-08-28T23:10:00Z,Scheduled,2,Christian Scott,681035,R,59.8,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.8,29.2,24.8,95.5,80.0,36.5,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,0,Contact streak: 8/22 over last 7 games,"platoon edge; pitcher baseline 7.4% barrel, 10.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.11,53.39,94.56,105.0047,0.6337,0.3175,0.4378,76.17,62.01,41.09,36.31,27.0,0.2522,7.4,34.2,87.1,0.362,0.133,27.7,,,Citi Field,
6,694192,Jackson Chourio,MIL,TEX,2026-08-28T23:40:00Z,Scheduled,1,Cody Bradford,674003,L,58.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.7,60.7,27.6,88.7,78.0,75.6,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.94,45.45,91.05,101.8906,0.4561,0.2028,0.3287,74.25,43.68,30.38,28.29,18.2,0.1853,11.8,40.6,91.5,0.488,0.202,34.8,,,American Family Field,
7,671739,Michael Harris,ATL,COL,2026-08-28T23:15:00Z,Scheduled,5,Tomoyuki Sugano,608372,R,58.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Platoon Edge",46.1,72.1,30.9,81.9,80.0,44.8,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 12.6% barrel, 28.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.29,46.83,90.41,103.2449,0.4674,0.1844,0.3353,74.79,47.33,36.64,22.21,20.7,0.1859,12.64,42.46,90.63,0.5534,0.2469,29.86,,,Truist Park,
8,695491,Joshua Baez,STL,PIT,2026-08-29T00:15:00Z,Scheduled,5,Jared Jones,683003,R,57.5,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel",83.0,40.9,22.1,81.9,50.0,19.9,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","same-side matchup; pitcher baseline 8.2% barrel, 11.0 HR allowed",EV profile; pitcher fly-ball pressure modest,20.0,56.0,93.4,103.4725,0.498,0.292,0.322,77.9,75.6,28.0,44.0,4.0,0.293,8.2,39.1,89.7,0.382,0.166,27.2,,,Busch Stadium,
9,695506,Jac Caglianone,KC,CLE,2026-08-28T23:10:00Z,Scheduled,3,Tanner Bibee,676440,R,57.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.3,43.6,27.6,92.1,80.0,63.3,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,1,Contact streak: 12/28 over last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 26.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.61,50.94,91.99,104.7561,0.4849,0.2192,0.3469,77.33,74.9,43.23,22.54,17.5,0.1898,8.17,38.84,89.06,0.4116,0.166,27.83,,,Progressive Field,
10,805811,Bryce Eldridge,SF,AZ,2026-08-29T02:15:00Z,Scheduled,3,,,,56.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",69.1,41.2,19.3,92.1,60.0,46.5,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.62,57.11,93.43,103.2734,0.4771,0.247,0.3559,73.0,28.99,38.97,37.61,9.8,0.1497,,,,,,,,,Oracle Park,
