rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,677800,Wilyer Abreu,BOS,TOR,2026-08-10T23:07:00Z,Scheduled,3,Jameson Taillon,592791,R,63.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.6,69.1,30.4,92.1,80.0,93.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 13.1% barrel, 25.4 HR allowed",fly-ball profile; pitcher allows elevated contact,12.72,43.85,90.31,101.356,0.4827,0.2285,0.3476,73.89,38.52,37.27,37.87,20.6,0.2101,13.07,39.42,88.93,0.5073,0.2502,37.03,,,Rogers Centre,
2,660271,Shohei Ohtani,LAD,KC,2026-08-11T02:10:00Z,Scheduled,1,Noah Cameron,702070,L,60.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",80.2,41.2,27.6,88.7,50.0,63.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.0% barrel, 15.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.53,54.22,93.78,104.3379,0.593,0.3043,0.4124,74.96,52.45,47.26,32.41,34.7,0.277,7.98,38.03,88.81,0.4205,0.1681,25.75,,,UNIQLO Field at Dodger Stadium,
3,575929,Willson Contreras,BOS,TOR,2026-08-10T23:07:00Z,Scheduled,4,Jameson Taillon,592791,R,60.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.1,69.1,30.4,90.4,50.0,43.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","same-side matchup; pitcher baseline 13.1% barrel, 25.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.25,47.11,90.74,103.1323,0.5027,0.2394,0.379,76.77,68.8,44.28,29.47,22.1,0.2306,13.07,39.42,88.93,0.5073,0.2502,37.03,,,Rogers Centre,
4,656941,Kyle Schwarber,PHI,STL,2026-08-10T23:45:00Z,Scheduled,1,Hunter Dobbins,690928,R,59.1,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.0,33.1,22.1,88.7,80.0,56.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 6.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.49,54.14,93.46,104.5588,0.5187,0.2784,0.3779,77.09,75.07,54.42,33.25,41.3,0.2985,6.8,41.0,88.74,0.3821,0.1439,23.72,,,Busch Stadium,
5,624413,Pete Alonso,BAL,MIN,2026-08-10T23:40:00Z,Scheduled,2,Dean Kremer,665152,R,59.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",71.5,43.4,27.1,95.5,50.0,62.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 15.0 HR allowed",EV profile; pitcher allows elevated contact,15.33,55.38,93.92,104.1583,0.5412,0.2661,0.3846,74.78,49.07,36.15,31.16,28.9,0.2296,7.93,34.89,87.61,0.4431,0.1974,34.98,,,Target Field,
6,545361,Mike Trout,LAA,TEX,2026-08-11T01:38:00Z,Scheduled,2,MacKenzie Gore,669022,L,57.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",63.3,47.0,28.2,95.5,78.0,18.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 17.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.57,47.9,90.34,103.1748,0.4964,0.2481,0.3783,74.7,49.24,38.4,33.03,21.1,0.2056,9.48,42.91,89.56,0.3898,0.1537,27.65,,,Angel Stadium,
7,641343,Jake Bauers,MIL,SD,2026-08-11T01:40:00Z,Scheduled,3,Casey Mize,663554,R,57.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.8,38.0,22.6,92.1,80.0,87.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 10.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.05,51.2,92.47,103.242,0.4752,0.223,0.3652,76.64,71.61,40.97,30.26,16.8,0.2137,7.73,39.21,89.3,0.3749,0.1427,30.25,,,Petco Park,
8,621566,Matt Olson,ATL,NYM,2026-08-10T23:15:00Z,Scheduled,3,Christian Scott,681035,R,57.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",67.5,24.6,30.9,92.1,80.0,83.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.31,51.41,92.88,103.9366,0.5116,0.2629,0.3614,74.53,47.54,38.21,32.71,32.5,0.2638,6.3,33.9,87.3,0.352,0.128,26.5,,,Truist Park,
9,670541,Yordan Alvarez,HOU,SF,2026-08-11T01:45:00Z,Scheduled,2,Blade Tidwell,694918,R,56.5,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.7,18.6,19.3,95.5,80.0,24.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 4.8% barrel, 1.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.6,53.46,94.49,105.0163,0.647,0.3294,0.4434,76.1,61.52,41.72,36.38,26.3,0.2599,4.83,34.82,87.08,0.3709,0.1229,18.02,,,Oracle Park,
10,676475,Alec Burleson,STL,PHI,2026-08-10T23:45:00Z,Scheduled,3,Andrew Painter,691725,R,55.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.8,43.2,22.1,92.1,80.0,74.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.04,47.27,91.56,101.9304,0.5186,0.2298,0.3723,73.14,32.67,44.03,27.96,18.7,0.1872,9.0,35.2,87.1,0.456,0.186,27.5,,,Busch Stadium,
