rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,701538,Jackson Merrill,SD,COL,2026-09-17T00:40:00Z,Pre-Game,5,Mason Adams,690279,R,66.9,Tier 3,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",54.9,68.5,53.7,86.4,80.0,100.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.9% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.79,47.17,90.96,101.1771,0.4928,0.2249,0.3484,72.95,28.03,37.14,30.48,22.3,0.1895,10.9,58.7,93.2,0.458,0.223,32.6,In From LF,76,Coors Field,
2,665487,Fernando Tatis Jr.,SD,COL,2026-09-17T00:40:00Z,Pre-Game,1,Mason Adams,690279,R,65.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",57.9,68.5,53.7,93.2,50.0,93.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 5.0 HR allowed",EV profile; pitcher allows elevated contact,12.19,53.41,93.16,104.5035,0.4943,0.2051,0.3756,75.65,58.12,35.01,22.22,23.6,0.1773,10.9,58.7,93.2,0.458,0.223,32.6,In From LF,76,Coors Field,
3,695578,James Wood,WSH,PHI,2026-09-16T22:45:00Z,Pre-Game,1,Zack Wheeler,554430,R,64.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",79.5,27.1,67.7,93.2,80.0,21.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 6.7% barrel, 19.7 HR allowed",EV profile; pitcher fly-ball pressure modest,18.99,57.56,94.86,106.3082,0.5448,0.2757,0.3967,76.63,66.78,32.36,24.52,30.3,0.2442,6.71,34.8,86.91,0.3242,0.124,26.58,Out To CF,83,Nationals Park,
4,624413,Pete Alonso,BAL,NYM,2026-09-16T23:10:00Z,Pre-Game,2,Xzavion Curry,675540,R,64.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",72.0,35.6,61.3,100.0,50.0,79.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 2.1 HR allowed",EV profile; pitcher allows elevated contact,15.47,55.45,93.71,104.2134,0.5517,0.2717,0.3916,74.78,48.37,36.57,30.53,36.6,0.238,8.65,35.75,88.17,0.3469,0.1473,37.01,Out To LF,73,Citi Field,
5,665742,Juan Soto,NYM,BAL,2026-09-16T23:10:00Z,Pre-Game,2,Chris Bassitt,605135,R,63.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",69.7,29.9,61.3,100.0,80.0,57.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.0% barrel, 13.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.12,50.05,92.89,102.9944,0.5835,0.2923,0.4171,72.76,32.4,39.74,31.63,30.4,0.2529,6.05,36.11,87.7,0.4105,0.1364,23.21,Out To LF,73,Citi Field,
6,665052,Griffin Conine,MIA,AZ,2026-09-17T01:40:00Z,Pre-Game,3,Merrill Kelly,518876,R,62.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",56.8,60.4,41.7,92.1,80.0,54.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,1,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 25.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.15,49.22,91.18,103.0857,0.4572,0.2103,0.3447,74.26,44.25,42.04,23.76,11.8,0.2077,10.84,42.45,89.99,0.494,0.2125,26.43,None,72,Chase Field,
7,665833,Oneil Cruz,PIT,MIL,2026-09-16T22:40:00Z,Pre-Game,4,Logan Henderson,701656,R,62.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",69.7,36.4,47.8,94.9,80.0,52.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 9.3 HR allowed",EV profile; pitcher allows elevated contact,16.74,55.41,95.1,106.5841,0.4607,0.2203,0.345,78.24,75.96,40.02,23.17,18.6,0.1948,8.53,35.81,88.59,0.352,0.1428,32.68,Calm,82,PNC Park,
8,663728,Cal Raleigh,SEA,LAA,2026-09-17T01:38:00Z,Pre-Game,4,Yusei Kikuchi,579328,L,61.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.2,49.1,65.2,90.4,75.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,1,"Last 7 games: 3/28, 1 HR","switch hitter; pitcher baseline 9.1% barrel, 12.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,16.0,42.32,90.32,101.1773,0.442,0.2411,0.329,75.13,52.32,52.75,42.71,33.4,0.2349,9.05,43.88,91.07,0.4329,0.178,24.8,Out To CF,74,Angel Stadium,
9,621566,Matt Olson,ATL,CHC,2026-09-16T23:40:00Z,Pre-Game,3,Shota Imanaga,684007,L,61.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",66.0,53.7,38.8,96.6,50.0,59.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.3% barrel, 33.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.68,52.11,92.81,103.7083,0.5018,0.2545,0.3558,74.53,47.54,38.07,33.13,36.0,0.2421,10.27,38.67,89.23,0.4284,0.1926,34.74,In From LF,68,Wrigley Field,
10,669065,Kyle Stowers,MIA,AZ,2026-09-17T01:40:00Z,Pre-Game,1,Merrill Kelly,518876,R,61.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",62.4,60.4,41.7,88.7,80.0,3.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","platoon edge; pitcher baseline 10.8% barrel, 25.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.34,55.15,91.94,103.3554,0.46,0.223,0.3386,75.21,54.04,45.5,32.48,20.8,0.228,10.84,42.45,89.99,0.494,0.2125,26.43,None,72,Chase Field,
