rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695578,James Wood,WSH,COL,2026-07-22T00:40:00Z,Scheduled,1,Michael Lorenzen,547179,R,69.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.3,51.6,38.7,88.7,80.0,82.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 17.3 HR allowed",EV profile; pitcher fly-ball pressure modest,20.32,58.61,94.86,106.3664,0.5693,0.2995,0.4058,76.56,66.48,30.19,26.55,28.9,0.2631,8.73,44.24,90.21,0.4629,0.1805,25.31,,,Coors Field,
2,670541,Yordan Alvarez,HOU,MIA,2026-07-22T00:10:00Z,Scheduled,2,Tyler Phillips,663969,R,67.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",86.3,38.7,27.6,95.5,80.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 8.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.65,53.25,94.7,105.2162,0.6708,0.349,0.4532,76.1,61.95,41.23,37.64,24.9,0.276,6.99,43.75,89.9,0.4029,0.1464,24.54,,,Daikin Park,
3,699013,Esmerlyn Valdez,PIT,NYY,2026-07-21T23:05:00Z,Scheduled,4,Will Warren,701542,R,66.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",86.3,45.5,38.2,90.4,50.0,88.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,6,Hot streak: 6 HR in last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 16.4 HR allowed",EV profile; pitcher fly-ball pressure modest,28.6,55.6,93.1,104.5742,0.56,0.337,0.364,75.0,50.7,27.0,46.0,13.0,0.444,8.24,41.59,90.44,0.4183,0.161,24.94,,,Yankee Stadium,
4,808959,Munetaka Murakami,CWS,TEX,2026-07-22T00:05:00Z,Scheduled,2,Kumar Rocker,677958,R,63.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.4,48.8,27.6,95.5,80.0,7.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 11.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.5,58.6,93.9,104.8214,0.497,0.286,0.365,75.3,56.0,44.4,40.6,20.0,0.299,8.93,44.49,89.94,0.4486,0.1794,22.3,,,Globe Life Field,
5,545361,Mike Trout,LAA,STL,2026-07-22T01:38:00Z,Scheduled,2,Matthew Liberatore,669461,L,61.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",69.1,55.6,28.2,95.5,78.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 9.8% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,18.32,48.74,90.76,103.3895,0.5202,0.2698,0.3881,74.77,49.48,39.73,33.03,20.4,0.2224,9.83,42.15,90.67,0.4629,0.1885,28.66,,,Angel Stadium,
6,656941,Kyle Schwarber,PHI,LAD,2026-07-21T22:40:00Z,Scheduled,2,Justin Wrobleski,680736,L,60.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",81.3,39.0,34.3,95.5,50.0,30.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 6.5% barrel, 7.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.68,55.19,93.74,104.6639,0.5348,0.291,0.3828,77.16,75.98,54.7,34.79,39.9,0.3104,6.46,44.37,90.53,0.3989,0.1416,28.28,,,Citizens Bank Park,
7,686948,Drake Baldwin,ATL,SD,2026-07-21T23:15:00Z,Scheduled,1,Walker Buehler,621111,R,60.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.4,45.8,30.9,88.7,80.0,100.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.22,50.65,91.56,102.4633,0.5136,0.2332,0.3768,75.09,53.53,32.08,24.27,18.3,0.1999,9.15,40.88,89.65,0.4248,0.1631,23.16,,,Truist Park,
8,696100,Hunter Goodman,COL,WSH,2026-07-22T00:40:00Z,Scheduled,3,Carson Palmquist,687223,L,60.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.7,41.1,38.7,92.1,78.0,85.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 3.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.12,46.41,91.01,102.9846,0.4814,0.2406,0.3352,75.1,51.31,49.12,31.01,30.3,0.2833,9.44,32.72,89.6,0.4061,0.1743,28.87,,,Coors Field,
9,660271,Shohei Ohtani,LAD,PHI,2026-07-21T22:40:00Z,Scheduled,1,Zack Wheeler,554430,R,59.8,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.8,21.7,34.3,88.7,80.0,56.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 12.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.02,54.64,93.85,104.2714,0.5958,0.3106,0.4145,75.03,53.5,47.82,32.9,31.9,0.2749,6.29,34.38,86.63,0.3116,0.1142,24.55,,,Citizens Bank Park,
10,700250,Ben Rice,NYY,PIT,2026-07-21T23:05:00Z,Scheduled,2,Bubba Chandler,696149,R,59.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",65.9,36.2,38.2,95.5,80.0,54.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,1,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 7.4% barrel, 7.6 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,50.78,92.6,102.5391,0.5369,0.2583,0.3875,72.91,27.78,46.71,29.55,28.1,0.2923,7.37,38.46,89.36,0.3814,0.1546,26.72,,,Yankee Stadium,
