rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,805811,Bryce Eldridge,SF,LAA,2026-07-25T02:15:00Z,Pre-Game,3,Grayson Rodriguez,680570,R,72.3,Tier 2,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.0,68.4,55.8,96.6,80.0,53.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.0% barrel, 5.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.46,59.14,93.5,103.6217,0.4974,0.2617,0.365,73.11,29.49,41.35,37.54,7.0,0.1644,10.0,55.0,92.3,0.543,0.23,28.3,Out To CF,63,Oracle Park,
2,670541,Yordan Alvarez,HOU,CWS,2026-07-24T23:40:00Z,Warmup,2,Davis Martin,663436,R,70.7,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.9,42.1,40.6,100.0,80.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 10.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.58,53.11,94.63,105.1096,0.6694,0.3483,0.4518,76.1,61.95,41.44,37.43,25.6,0.2767,7.56,44.18,90.21,0.4216,0.1524,22.43,In From RF,76,Rate Field,
3,669127,Shea Langeliers,ATH,MIN,2026-07-25T00:10:00Z,Pre-Game,3,Zebby Matthews,805673,R,66.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",58.8,57.4,70.6,96.6,50.0,88.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.96,45.18,91.6,102.6092,0.5008,0.2365,0.3539,74.85,49.54,40.51,30.89,25.4,0.2415,11.79,38.87,90.11,0.4554,0.1956,29.27,Out To LF,79,Target Field,
4,646240,Rafael Devers,SF,LAA,2026-07-25T02:15:00Z,Pre-Game,4,Grayson Rodriguez,680570,R,65.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.6,68.4,55.8,94.9,80.0,18.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","platoon edge; pitcher baseline 10.0% barrel, 5.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.57,51.97,92.66,103.0502,0.4583,0.2245,0.3341,71.81,21.55,33.98,33.04,24.5,0.2263,10.0,55.0,92.3,0.543,0.23,28.3,Out To CF,63,Oracle Park,
5,691016,Tyler Soderstrom,ATH,MIN,2026-07-25T00:10:00Z,Pre-Game,2,Zebby Matthews,805673,R,63.7,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",45.5,57.4,70.6,100.0,80.0,63.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.49,46.16,90.62,102.0042,0.4367,0.1792,0.341,74.28,42.87,36.56,26.02,18.7,0.2176,11.79,38.87,90.11,0.4554,0.1956,29.27,Out To LF,79,Target Field,
6,671218,Heliot Ramos,SF,LAA,2026-07-25T02:15:00Z,Pre-Game,2,Grayson Rodriguez,680570,R,63.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",55.6,68.4,55.8,100.0,50.0,37.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","same-side matchup; pitcher baseline 10.0% barrel, 5.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.91,49.78,92.36,103.3321,0.4667,0.2037,0.334,72.74,30.28,35.27,23.44,12.6,0.1741,10.0,55.0,92.3,0.543,0.23,28.3,Out To CF,63,Oracle Park,
7,808959,Munetaka Murakami,CWS,HOU,2026-07-24T23:40:00Z,Warmup,2,Spencer Arrighetti,681293,R,63.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.3,37.4,40.6,100.0,80.0,9.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","platoon edge; pitcher baseline 8.2% barrel, 10.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.1,58.1,93.8,104.6486,0.495,0.283,0.366,75.3,55.5,44.1,41.2,20.0,0.292,8.17,35.16,87.98,0.4064,0.1644,28.02,In From RF,76,Rate Field,
8,621439,Byron Buxton,MIN,ATH,2026-07-25T00:10:00Z,Pre-Game,2,Jacob Lopez,682052,L,60.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",68.9,21.8,70.6,100.0,78.0,21.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 5.2% barrel, 12.2 HR allowed",fly-ball profile; pitcher allows elevated contact,17.84,49.32,91.24,102.4098,0.5147,0.2639,0.35,74.37,43.22,48.17,35.26,28.0,0.2919,5.2,31.94,85.71,0.3522,0.1317,32.48,Out To LF,79,Target Field,
9,676475,Alec Burleson,STL,CIN,2026-07-25T00:15:00Z,Pre-Game,3,Rhett Lowder,695076,R,60.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.5,50.4,55.1,96.6,80.0,44.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,29,0,Contact streak: 12/29 over last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.76,46.5,91.42,101.7687,0.5172,0.2263,0.3716,73.03,31.23,43.68,27.68,15.9,0.1802,9.3,39.6,90.6,0.465,0.189,27.2,Out To LF,74,Busch Stadium,
10,691023,Jordan Walker,STL,CIN,2026-07-25T00:15:00Z,Pre-Game,2,Rhett Lowder,695076,R,59.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",59.2,50.4,55.1,100.0,50.0,19.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 9.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.14,50.35,93.42,105.2609,0.4631,0.2012,0.341,78.87,83.33,38.31,23.28,17.2,0.1869,9.3,39.6,90.6,0.465,0.189,27.2,Out To LF,74,Busch Stadium,
