rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,592450,Aaron Judge,NYY,NYM,2026-09-12T17:35:00Z,Game Over,2,Zac Thornton,804267,L,74.1,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",89.6,46.9,78.2,100.0,78.0,10.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.07,57.64,94.42,105.6911,0.6206,0.345,0.422,76.34,66.58,41.62,34.2,27.8,0.2975,9.0,39.7,88.9,0.451,0.184,28.1,Out To LF,78,Yankee Stadium,
2,665742,Juan Soto,NYM,NYY,2026-09-12T17:35:00Z,Game Over,2,Gerrit Cole,543037,R,70.1,Tier 2,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",69.9,46.9,78.2,100.0,80.0,57.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 17.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.26,49.77,92.75,103.0245,0.5863,0.2951,0.4192,72.69,32.19,39.25,32.12,29.7,0.2536,8.7,44.0,90.7,0.393,0.147,27.4,Out To LF,78,Yankee Stadium,
3,808959,Munetaka Murakami,CWS,STL,2026-09-12T23:15:00Z,Pre-Game,4,Kyle Leahy,681517,R,69.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",75.6,52.5,62.1,94.9,80.0,36.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 11.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.0,56.9,93.8,104.3516,0.455,0.254,0.344,74.8,50.8,45.3,38.8,31.0,0.267,9.94,46.69,90.71,0.4387,0.1698,23.17,Out To RF,88,Busch Stadium,
4,641343,Jake Bauers,MIL,CIN,2026-09-12T23:10:00Z,Pre-Game,2,Brady Singer,663903,R,66.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.8,52.9,67.6,95.5,80.0,56.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 24.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,13.77,50.92,92.26,103.0644,0.4724,0.2223,0.3708,76.5,69.51,40.83,30.54,19.6,0.2067,9.47,42.17,90.86,0.4391,0.1751,26.65,Out To CF,78,American Family Field,
5,682985,Riley Greene,DET,COL,2026-09-12T17:10:00Z,In Progress,5,Tanner Gordon,685299,R,65.3,Tier 3,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",62.6,60.0,39.6,86.4,80.0,100.0,Yes,Yes,4,Yes,Yes,MLB Stats API; RotoWire,order MLB 5 vs RotoWire 4,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.84,47.25,90.25,102.6361,0.5022,0.2459,0.3614,75.6,57.94,38.84,33.94,24.1,0.2098,10.45,41.83,90.52,0.4789,0.209,33.32,In From RF,78,Comerica Park,
6,656941,Kyle Schwarber,PHI,ATL,2026-09-12T23:15:00Z,Pre-Game,1,Tyler Mahle,641816,R,64.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",75.7,37.8,42.9,93.2,80.0,74.5,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 13.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.14,52.53,92.97,104.1943,0.5243,0.2826,0.3758,77.16,75.42,54.7,33.11,47.6,0.2957,7.09,38.22,89.55,0.4018,0.1495,26.84,In From RF,80,Truist Park,
7,682829,Elly De La Cruz,CIN,MIL,2026-09-12T23:10:00Z,Pre-Game,2,Shane Drohan,675660,L,64.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.9,36.0,67.6,100.0,75.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,5,Hot streak: 5 HR in last 7 games,"switch hitter; pitcher baseline 8.7% barrel, 12.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.22,50.36,93.45,104.4575,0.4765,0.2052,0.3577,75.45,54.68,34.26,25.03,24.8,0.211,8.7,37.5,88.3,0.368,0.139,28.6,Out To CF,78,American Family Field,
8,665833,Oneil Cruz,PIT,CHC,2026-09-12T18:20:00Z,In Progress,1,Clay Holmes,605280,R,63.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",70.9,29.1,71.3,93.2,80.0,52.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 5.4% barrel, 7.7 HR allowed",EV profile; pitcher fly-ball pressure modest,17.09,55.48,95.17,106.7579,0.4663,0.2245,0.3464,78.24,75.82,39.88,23.31,18.6,0.1997,5.4,41.95,89.63,0.3765,0.1234,18.27,Out To CF,83,Wrigley Field,
9,671218,Heliot Ramos,NYY,NYM,2026-09-12T17:35:00Z,Game Over,4,Zac Thornton,804267,L,63.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",50.8,46.9,78.2,94.9,78.0,65.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 11.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.37,49.22,92.15,103.0441,0.4373,0.1855,0.3263,72.99,32.4,33.1,23.58,14.0,0.1545,9.0,39.7,88.9,0.451,0.184,28.1,Out To LF,78,Yankee Stadium,
10,646240,Rafael Devers,SF,SD,2026-09-12T20:05:00Z,In Progress,2,Michael King,650633,R,62.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.3,41.2,45.3,100.0,80.0,95.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 16.2 HR allowed",EV profile; pitcher fly-ball pressure modest,13.41,53.09,93.15,103.333,0.4751,0.235,0.3488,71.81,20.58,34.33,33.67,35.7,0.2529,9.37,34.53,87.31,0.4081,0.1723,27.96,Varies,67,Oracle Park,
11,805811,Bryce Eldridge,SF,SD,2026-09-12T20:05:00Z,In Progress,3,Michael King,650633,R,62.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",68.4,41.2,45.3,96.6,80.0,59.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,1,Contact streak: 9/23 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 16.2 HR allowed",EV profile; pitcher fly-ball pressure modest,15.41,57.39,93.5,103.2925,0.4778,0.2428,0.3594,72.86,28.01,37.15,36.77,11.2,0.1546,9.37,34.53,87.31,0.4081,0.1723,27.96,Varies,67,Oracle Park,
12,682987,Spencer Jones,NYY,NYM,2026-09-12T17:35:00Z,Game Over,6,Zac Thornton,804267,L,62.5,Tier 3,Watch List,"Strong Barrel, Good Environment",67.0,46.9,78.2,76.2,50.0,45.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,24,0,Contact streak: 11/24 over last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 11.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.6,55.9,94.3,104.5907,0.445,0.2,0.332,77.2,72.1,33.6,34.4,9.0,0.194,9.0,39.7,88.9,0.451,0.184,28.1,Out To LF,78,Yankee Stadium,
