rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,592450,Aaron Judge,NYY,COL,2026-09-09T23:05:00Z,Scheduled,3,Tomoyuki Sugano,608372,R,70.3,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",90.3,70.1,38.2,92.1,50.0,12.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","same-side matchup; pitcher baseline 12.2% barrel, 28.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.63,57.57,94.49,105.7636,0.6324,0.3537,0.4282,76.34,66.44,41.27,34.06,27.8,0.3066,12.15,42.32,90.77,0.545,0.2399,29.58,,,Yankee Stadium,
2,682987,Spencer Jones,NYY,COL,2026-09-09T23:05:00Z,Scheduled,5,Tomoyuki Sugano,608372,R,66.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Platoon Edge",67.5,70.1,38.2,81.9,80.0,62.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.2% barrel, 28.8 HR allowed",EV profile; pitcher fly-ball pressure modest,15.8,55.5,94.1,104.2649,0.445,0.207,0.327,77.3,73.1,32.5,35.0,9.0,0.201,12.15,42.32,90.77,0.545,0.2399,29.58,,,Yankee Stadium,
3,700250,Ben Rice,NYY,COL,2026-09-09T23:05:00Z,Scheduled,1,Tomoyuki Sugano,608372,R,65.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",64.1,70.1,38.2,88.7,80.0,50.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 12.2% barrel, 28.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.7,50.99,92.39,102.5453,0.5236,0.2527,0.3805,72.91,28.01,45.17,30.74,33.0,0.2587,12.15,42.32,90.77,0.545,0.2399,29.58,,,Yankee Stadium,
4,682985,Riley Greene,DET,MIN,2026-09-09T17:10:00Z,Scheduled,4,Zebby Matthews,805673,R,62.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.2,55.2,27.6,90.4,80.0,87.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.84,47.18,90.25,102.6002,0.5001,0.2438,0.36,75.6,57.66,39.33,33.45,24.1,0.2077,10.74,40.76,90.18,0.4414,0.183,28.22,,,Comerica Park,
5,624413,Pete Alonso,BAL,CLE,2026-09-09T22:35:00Z,Scheduled,2,Foster Griffin,656492,L,62.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",72.1,42.6,32.1,95.5,78.0,56.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 23.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,56.22,93.92,104.2527,0.5489,0.2689,0.3902,74.78,48.79,36.43,30.04,34.5,0.2352,8.9,37.3,88.2,0.417,0.16,25.5,,,Oriole Park at Camden Yards,
6,660271,Shohei Ohtani,LAD,CIN,2026-09-10T02:10:00Z,Scheduled,1,Rhett Lowder,695076,R,62.0,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.5,51.3,27.6,88.7,80.0,0.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,26,0,"Last 7 games: 2/26, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 16.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.11,53.66,93.71,104.4581,0.5825,0.2994,0.4068,74.96,52.87,46.49,31.92,37.5,0.2735,9.5,38.3,90.0,0.458,0.19,28.8,,,UNIQLO Field at Dodger Stadium,
7,695600,Carter Jensen,KC,AZ,2026-09-09T23:40:00Z,Scheduled,1,Zac Gallen,668678,R,61.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.8,62.1,23.2,88.7,80.0,88.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.6% barrel, 21.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.01,49.13,92.6,103.0452,0.4636,0.2151,0.3476,74.1,39.08,40.93,31.05,16.3,0.222,10.61,44.19,90.59,0.5012,0.2088,27.99,,,Kauffman Stadium,
8,695578,James Wood,WSH,SD,2026-09-09T20:10:00Z,Scheduled,1,Walker Buehler,621111,R,61.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.6,42.5,22.6,88.7,80.0,20.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 19.2 HR allowed",EV profile; pitcher fly-ball pressure modest,19.48,57.77,95.07,106.3316,0.556,0.2841,0.4016,76.63,67.06,32.22,25.08,30.3,0.2512,8.59,38.36,88.95,0.4129,0.1617,23.16,,,Petco Park,
9,663728,Cal Raleigh,SEA,TEX,2026-09-09T20:10:00Z,Scheduled,4,Cody Bradford,674003,L,60.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.8,58.6,25.4,90.4,75.0,72.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 11.0% barrel, 4.0 HR allowed",fly-ball profile; pitcher allows elevated contact,16.28,42.25,90.32,101.217,0.4469,0.2432,0.3325,75.06,52.18,54.43,42.43,32.7,0.2384,11.0,40.0,90.3,0.502,0.217,34.5,,,T-Mobile Park,
10,808959,Munetaka Murakami,CWS,PIT,2026-09-09T23:40:00Z,Scheduled,3,Lake Bachar,669199,R,60.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.1,43.8,27.6,92.1,80.0,18.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,29,1,"Last 7 games: 3/29, 1 HR","platoon edge; pitcher baseline 9.2% barrel, 12.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.9,57.3,93.9,104.3644,0.46,0.257,0.347,74.8,51.2,44.9,38.8,30.0,0.267,9.16,36.39,89.32,0.3822,0.1752,32.55,,,Rate Field,
