rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,STL,2026-08-12T18:15:00Z,In Progress,1,Kyle Leahy,681517,R,73.3,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",77.7,54.3,71.1,93.2,80.0,74.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.49,54.56,93.53,104.558,0.5229,0.2812,0.3807,77.16,75.21,54.77,33.32,41.3,0.2971,10.43,47.18,90.78,0.4492,0.1754,21.84,Out To CF,94,Busch Stadium,
2,808959,Munetaka Murakami,CWS,CIN,2026-08-12T23:40:00Z,Pre-Game,2,Rhett Lowder,695076,R,72.4,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.0,50.6,62.6,100.0,80.0,45.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.8,59.6,94.2,104.7255,0.509,0.289,0.367,74.8,50.3,42.1,39.9,26.0,0.301,9.5,38.2,90.5,0.457,0.19,28.3,Out To LF,76,Rate Field,
3,624413,Pete Alonso,BAL,MIN,2026-08-12T17:40:00Z,In Progress,2,Zebby Matthews,805673,R,67.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",72.5,56.3,44.1,100.0,50.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",EV profile; pitcher fly-ball pressure modest,15.54,55.8,93.92,104.1891,0.5468,0.271,0.3867,74.78,49.21,35.87,31.3,29.6,0.2317,11.58,40.06,90.11,0.4463,0.1872,27.66,In From CF,86,Target Field,
4,680664,Eduardo Valencia,DET,CLE,2026-08-12T22:40:00Z,Pre-Game,5,Foster Griffin,656492,L,66.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",84.5,42.9,53.6,81.9,78.0,40.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,0,Contact streak: 7/18 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,30.0,60.0,91.2,103.2988,0.634,0.35,0.4,72.9,24.4,33.3,30.0,4.0,0.415,9.2,37.6,87.9,0.411,0.161,25.8,R To L,79,Comerica Park,
5,670541,Yordan Alvarez,HOU,SF,2026-08-12T19:45:00Z,In Progress,2,Adrian Houser,605288,R,65.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.8,46.6,34.8,100.0,80.0,10.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 13.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.74,53.32,94.56,105.1049,0.6456,0.328,0.4427,76.1,61.45,41.93,36.45,26.3,0.2578,8.13,43.47,90.06,0.4395,0.1743,23.95,Varies,64,Oracle Park,
6,660670,Ronald Acuña Jr.,ATL,NYM,2026-08-12T23:15:00Z,Pre-Game,1,Zac Thornton,804267,L,64.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.1,42.0,72.9,93.2,78.0,72.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.23,48.02,91.09,102.849,0.5091,0.2482,0.3823,75.98,62.88,36.72,28.72,14.7,0.2,8.8,39.8,89.3,0.423,0.155,29.2,Out To LF,88,Truist Park,
7,621566,Matt Olson,ATL,NYM,2026-08-12T23:15:00Z,Pre-Game,3,Zac Thornton,804267,L,64.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",67.7,42.0,72.9,96.6,50.0,70.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 8.8% barrel, 3.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.38,51.27,92.88,103.9236,0.513,0.2643,0.3621,74.53,47.54,38.42,32.78,33.2,0.2652,8.8,39.8,89.3,0.423,0.155,29.2,Out To LF,88,Truist Park,
8,547180,Bryce Harper,PHI,STL,2026-08-12T18:15:00Z,In Progress,3,Kyle Leahy,681517,R,64.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",53.0,54.3,71.1,96.6,80.0,43.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.74,45.68,90.53,101.9826,0.5025,0.2303,0.3834,74.24,45.92,38.19,27.59,25.6,0.2379,10.43,47.18,90.78,0.4492,0.1754,21.84,Out To CF,94,Busch Stadium,
9,700250,Ben Rice,NYY,SEA,2026-08-12T23:05:00Z,Pre-Game,2,Bryce Miller,682243,R,64.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",64.9,37.3,77.7,100.0,80.0,18.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,1,"Last 7 games: 2/24, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.54,50.43,92.39,102.5444,0.5215,0.2534,0.3777,72.84,28.08,46.22,30.11,30.2,0.2734,7.51,36.14,88.62,0.3804,0.1533,31.93,Out To LF,85,Yankee Stadium,
10,686527,Dominic Canzone,SEA,NYY,2026-08-12T23:05:00Z,Pre-Game,4,Will Warren,701542,R,63.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",58.2,47.2,77.7,94.9,80.0,10.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.66,46.97,91.88,102.7152,0.5092,0.2325,0.3669,74.22,44.09,40.11,26.58,15.9,0.2188,8.45,43.27,90.72,0.4225,0.1603,23.47,Out To LF,85,Yankee Stadium,
11,701398,Sal Stewart,CIN,CWS,2026-08-12T23:40:00Z,Pre-Game,2,Luis Castillo,622491,R,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.6,53.9,62.6,95.5,50.0,39.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.1,43.33,91.83,101.521,0.5152,0.2547,0.3611,72.31,27.28,38.78,32.44,19.0,0.2396,9.91,42.9,90.16,0.4418,0.18,28.07,Out To LF,76,Rate Field,
12,682987,Spencer Jones,NYY,SEA,2026-08-12T23:05:00Z,Pre-Game,3,Bryce Miller,682243,R,62.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",63.1,37.3,77.7,96.6,80.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,0,"Last 7 games: 2/23, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",EV profile; pitcher allows elevated contact,12.5,57.7,94.0,103.5388,0.421,0.201,0.318,77.7,78.3,29.2,37.5,5.0,0.175,7.51,36.14,88.62,0.3804,0.1533,31.93,Out To LF,85,Yankee Stadium,
13,682829,Elly De La Cruz,CIN,CWS,2026-08-12T23:40:00Z,Pre-Game,1,Luis Castillo,622491,R,61.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",55.9,51.9,62.6,88.7,75.0,48.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.9% barrel, 18.8 HR allowed",EV profile; pitcher fly-ball pressure modest,12.96,49.03,92.96,104.001,0.4646,0.1982,0.3521,75.17,52.72,35.03,25.03,20.6,0.2103,9.91,42.9,90.16,0.4418,0.18,28.07,Out To LF,76,Rate Field,
14,696100,Hunter Goodman,COL,AZ,2026-08-12T19:40:00Z,In Progress,4,Merrill Kelly,518876,R,61.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",60.0,65.4,43.2,94.9,50.0,31.6,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 11.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,46.27,90.66,102.7807,0.4679,0.2329,0.3276,75.0,49.65,47.58,33.11,33.1,0.277,11.68,43.99,90.2,0.5115,0.2265,26.29,None,75,Chase Field,
15,691406,Junior Caminero,TB,ATH,2026-08-12T19:05:00Z,In Progress,3,Jack Perkins,678022,R,61.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",65.2,42.9,54.4,96.6,50.0,63.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 11.7 HR allowed",EV profile; pitcher allows elevated contact,14.0,51.19,92.89,105.3618,0.5115,0.2439,0.3656,79.41,85.46,45.66,23.98,38.0,0.2752,9.67,37.56,88.01,0.3832,0.1566,34.52,Calm,82,Sutter Health Park,
16,687605,Andrew Pinckney,WSH,CHC,2026-08-12T22:45:00Z,Pre-Game,6,David Peterson,656849,L,60.5,Tier 3,Watch List,"Strong Barrel, Platoon Edge",72.5,37.4,53.2,76.2,78.0,37.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,1,4,1,"Last 4 games: 1/4, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,33.3,33.3,90.8,98.9195,0.618,0.381,0.359,72.5,50.0,33.3,33.3,1.0,0.75,6.68,42.85,89.76,0.4182,0.1454,19.71,L To R,85,Nationals Park,
17,687952,Christian Encarnacion-Strand,BAL,MIN,2026-08-12T17:40:00Z,In Progress,6,Zebby Matthews,805673,R,60.0,Tier 3,Watch List,Strong Barrel,69.5,56.3,44.1,76.2,50.0,35.6,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,1,"Last 7 games: 4/17, 1 HR","same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,17.89,43.65,91.96,102.4706,0.5641,0.299,0.3667,73.25,32.56,40.0,28.81,4.6,0.2285,11.58,40.06,90.11,0.4463,0.1872,27.66,In From CF,86,Target Field,
18,694192,Jackson Chourio,MIL,SD,2026-08-12T20:10:00Z,Warmup,1,Robbie Ray,592662,L,59.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.0,47.4,47.6,93.2,78.0,76.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.64,46.22,91.26,102.095,0.4659,0.2112,0.3329,74.25,44.45,31.29,27.38,18.2,0.1993,8.69,39.87,89.67,0.4046,0.1695,33.87,L To R,79,Petco Park,
19,665052,Griffin Conine,MIA,PIT,2026-08-12T22:40:00Z,Pre-Game,3,Carmen Mlodzinski,669387,R,59.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.2,40.8,35.0,96.6,80.0,56.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.55,53.0,91.81,103.8107,0.4922,0.2348,0.3573,74.33,45.37,42.53,23.97,9.0,0.2406,7.08,44.72,90.48,0.4216,0.1448,23.67,None,72,loanDepot park,
