rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,660271,Shohei Ohtani,LAD,COL,2026-08-18T00:40:00Z,Pre-Game,1,Tomoyuki Sugano,608372,R,77.6,Tier 2,Best Overall,"Projected Lineup, Elite Power, Strong Barrel, Pitcher Vulnerable, Good Environment, Premium Lineup Spot, Platoon Edge",80.5,73.3,79.7,88.7,80.0,37.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 13.1% barrel, 26.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.53,54.57,93.92,104.4762,0.5923,0.305,0.4103,74.96,52.8,46.7,32.41,35.4,0.2777,13.13,42.32,90.49,0.552,0.249,30.49,Out To LF,88,Coors Field,
2,695491,Joshua Baez,STL,CIN,2026-08-17T22:40:00Z,Scheduled,1,Rhett Lowder,695076,R,71.6,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",99.9,50.9,39.3,88.7,50.0,71.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed; order MLB 1 vs RotoWire 5,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,3,3,13,3,Hot streak: 3 HR in last 3 games,"same-side matchup; pitcher baseline 9.6% barrel, 12.0 HR allowed",EV profile; pitcher fly-ball pressure modest,50.0,83.3,97.4,102.0087,0.919,0.613,0.5,79.8,100.0,33.3,66.7,3.0,1.0,9.6,38.2,90.5,0.456,0.19,27.9,,,Great American Ball Park,
3,656941,Kyle Schwarber,PHI,MIA,2026-08-17T22:40:00Z,Pre-Game,1,Janson Junk,676083,R,71.5,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.2,42.5,74.3,93.2,80.0,81.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 10.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.77,54.49,93.46,104.4142,0.5229,0.2826,0.3786,77.16,75.28,54.84,33.88,42.7,0.2999,7.52,42.61,90.48,0.4215,0.1606,23.29,Out To RF,86,Citizens Bank Park,
4,621566,Matt Olson,ATL,MIN,2026-08-17T23:40:00Z,Pre-Game,3,Bailey Ober,641927,R,70.4,Tier 2,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",67.8,55.5,69.6,96.6,80.0,70.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 20.9 HR allowed",EV profile; pitcher allows elevated contact,15.45,50.99,92.74,103.8644,0.5151,0.2657,0.3628,74.53,47.75,37.72,33.06,33.9,0.2645,10.69,36.23,88.83,0.4669,0.2147,31.83,Out To CF,83,Target Field,
5,808959,Munetaka Murakami,CWS,CHC,2026-08-18T00:05:00Z,Pre-Game,2,Shota Imanaga,684007,L,68.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",83.1,53.0,46.3,100.0,50.0,49.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.3% barrel, 28.9 HR allowed",lift-pull EV profile; pitcher allows elevated contact,20.7,60.1,94.2,104.722,0.506,0.289,0.366,74.8,50.1,41.0,39.9,28.0,0.308,10.27,37.9,89.02,0.4298,0.1933,34.39,R To L,72,Wrigley Field,
6,624413,Pete Alonso,BAL,TB,2026-08-17T22:05:00Z,Pre-Game,2,Shane McClanahan,663556,L,66.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",72.5,41.2,41.1,100.0,78.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,15,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 7.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,55.87,93.99,104.1927,0.551,0.271,0.3909,74.78,48.72,35.8,30.95,30.3,0.2324,8.6,40.3,89.2,0.399,0.16,27.3,None,72,Tropicana Field,
7,518692,Freddie Freeman,LAD,COL,2026-08-18T00:40:00Z,Pre-Game,2,Tomoyuki Sugano,608372,R,64.5,Tier 3,Watch List,"Projected Lineup, Pitcher Vulnerable, Good Environment, Premium Lineup Spot, Platoon Edge",41.8,73.3,79.7,95.5,80.0,12.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 13.1% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.28,43.53,90.06,100.4097,0.4782,0.1909,0.3661,70.15,8.26,36.47,27.0,17.7,0.1762,13.13,42.32,90.49,0.552,0.249,30.49,Out To LF,88,Coors Field,
8,660670,Ronald Acuña Jr.,ATL,MIN,2026-08-17T23:40:00Z,Pre-Game,2,Bailey Ober,641927,R,64.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",60.7,55.5,69.6,100.0,50.0,33.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","same-side matchup; pitcher baseline 10.7% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.16,47.6,91.02,102.7663,0.507,0.2475,0.3795,76.05,62.95,36.58,28.86,15.4,0.2063,10.69,36.23,88.83,0.4669,0.2147,31.83,Out To CF,83,Target Field,
9,699013,Esmerlyn Valdez,PIT,DET,2026-08-17T23:05:00Z,Pre-Game,2,Framber Valdez,664285,L,63.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",72.2,35.6,58.8,100.0,78.0,32.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 13.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,21.3,49.1,91.7,102.893,0.464,0.254,0.347,74.7,50.7,37.0,43.5,14.0,0.304,6.21,44.06,90.24,0.384,0.1325,18.67,Out To RF,75,PNC Park,
10,686948,Drake Baldwin,ATL,MIN,2026-08-17T23:40:00Z,Pre-Game,1,Bailey Ober,641927,R,63.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",56.1,55.5,69.6,93.2,80.0,26.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.54,50.72,91.63,102.3339,0.4919,0.215,0.367,75.16,54.9,32.08,24.13,19.7,0.181,10.69,36.23,88.83,0.4669,0.2147,31.83,Out To CF,83,Target Field,
