rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,NYM,2026-06-27T20:10:00Z,Delayed Start,2,Christian Scott,681035,R,68.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.3,24.5,61.3,100.0,80.0,93.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 5.6% barrel, 4.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.66,54.49,93.6,104.5133,0.5572,0.3064,0.3933,77.16,76.26,56.17,35.77,37.1,0.3307,5.6,31.8,87.8,0.384,0.138,28.0,Out To LF,79,Citi Field,
2,670231,John Rave,KC,CWS,2026-06-27T20:10:00Z,In Progress,7,Davis Martin,663436,R,66.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",93.5,39.8,54.1,64.3,80.0,43.2,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,1,"Last 7 games: 4/14, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 10.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,27.9,64.5,98.17,103.7503,0.6255,0.3439,0.4315,75.02,52.74,56.56,42.35,1.9,0.4099,7.07,45.16,90.07,0.4062,0.1433,22.64,L To R,74,Rate Field,
3,624413,Pete Alonso,BAL,WSH,2026-06-27T23:05:00Z,Pre-Game,3,Foster Griffin,656492,L,66.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",68.3,48.8,54.6,96.6,78.0,64.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.0% barrel, 16.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.21,54.19,93.99,103.8004,0.5314,0.2577,0.3797,74.88,49.62,37.13,30.04,24.0,0.2289,11.0,38.4,88.0,0.419,0.176,27.5,R To L,80,Oriole Park at Camden Yards,
4,695578,James Wood,WSH,BAL,2026-06-27T23:05:00Z,Pre-Game,1,Brandon Young,687064,R,65.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.7,40.6,54.6,93.2,80.0,2.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,30,0,"Last 7 games: 4/30, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 7.8 HR allowed",EV profile; pitcher fly-ball pressure modest,21.02,58.4,95.0,106.2886,0.5616,0.2939,0.4002,76.28,64.31,29.49,26.97,23.3,0.2414,7.68,41.85,89.12,0.4152,0.1651,26.24,R To L,80,Oriole Park at Camden Yards,
5,621439,Byron Buxton,MIN,COL,2026-06-27T23:10:00Z,Pre-Game,2,Michael Lorenzen,547179,R,65.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",71.4,52.6,48.6,100.0,50.0,67.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 16.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.68,50.02,91.24,102.6377,0.5238,0.2716,0.3542,74.37,43.22,48.52,36.1,28.0,0.3045,8.87,44.8,90.0,0.4713,0.1847,25.73,In From RF,83,Target Field,
6,696135,Kahlil Watson,CLE,SEA,2026-06-27T23:10:00Z,Pre-Game,5,Logan Gilbert,669302,R,65.1,Tier 3,Watch List,"Strong Barrel, Platoon Edge",74.9,54.1,39.6,86.4,80.0,43.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 15.8 HR allowed",EV profile; pitcher fly-ball pressure modest,20.0,46.7,94.3,99.5662,0.479,0.273,0.303,73.6,32.4,20.0,40.0,1.0,0.16,10.7,43.87,90.66,0.3999,0.1708,29.73,In From RF,76,Progressive Field,
7,672960,Kazuma Okamoto,TOR,TEX,2026-06-27T19:07:00Z,In Progress,4,Cal Quantrill,615698,R,64.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",60.8,57.7,51.4,94.9,50.0,99.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 11.4% barrel, 9.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.9,50.0,92.2,102.906,0.459,0.232,0.336,73.3,37.0,51.1,31.9,19.0,0.234,11.45,41.29,88.86,0.4939,0.2157,28.17,R To L,73,Rogers Centre,
8,695506,Jac Caglianone,KC,CWS,2026-06-27T20:10:00Z,In Progress,3,Davis Martin,663436,R,63.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.1,39.8,54.1,96.6,80.0,74.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 10.2 HR allowed",EV profile; pitcher fly-ball pressure modest,15.57,53.95,92.69,105.4885,0.5017,0.2346,0.3616,77.12,72.87,41.76,23.66,11.9,0.1954,7.07,45.16,90.07,0.4062,0.1433,22.64,L To R,74,Rate Field,
9,663457,Lars Nootbaar,STL,MIA,2026-06-27T23:15:00Z,Pre-Game,5,Ryan Gusto,687473,R,63.0,Tier 3,Watch List,"Strong Barrel, Platoon Edge",59.6,55.5,61.6,86.4,80.0,30.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 10.9% barrel, 6.5 HR allowed",EV profile; pitcher fly-ball pressure modest,12.02,53.71,93.19,102.4434,0.5001,0.2278,0.3723,73.75,42.14,36.95,27.22,5.3,0.1739,10.9,46.96,89.97,0.4705,0.1837,23.67,Out To LF,87,Busch Stadium,
10,686527,Dominic Canzone,SEA,CLE,2026-06-27T23:10:00Z,Pre-Game,3,Slade Cecconi,677944,R,61.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.9,48.9,39.6,96.6,80.0,41.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 15.6 HR allowed",EV profile; pitcher fly-ball pressure modest,15.62,49.21,92.79,103.3988,0.5316,0.2451,0.3809,74.22,42.65,38.5,27.14,11.7,0.244,9.19,40.42,89.39,0.4484,0.1842,26.03,In From RF,76,Progressive Field,
