rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,699013,Esmerlyn Valdez,PIT,CLE,2026-07-18T23:10:00Z,Warmup,4,Logan Allen,671106,L,76.9,Tier 2,Best Overall,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.7,68.2,57.1,94.9,78.0,81.4,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 15.5% barrel, 5.4 HR allowed",EV profile; pitcher allows elevated contact,29.8,52.6,92.1,103.9855,0.58,0.34,0.374,74.9,49.2,26.3,42.1,10.0,0.404,15.47,49.4,92.38,0.428,0.1845,32.53,L To R,84,Progressive Field,
2,695578,James Wood,WSH,ATH,2026-07-19T02:05:00Z,Pre-Game,1,J.T. Ginn,669372,R,72.1,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.2,33.3,71.4,93.2,80.0,100.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 14.2 HR allowed",EV profile; pitcher fly-ball pressure modest,20.74,58.96,94.79,106.4211,0.5798,0.3065,0.4114,76.56,66.34,29.91,26.83,28.9,0.2701,7.56,37.57,87.56,0.3775,0.1428,23.64,Out To LF,83,Sutter Health Park,
3,804668,Rafael Flores Jr.,PIT,CLE,2026-07-18T23:10:00Z,Warmup,8,Logan Allen,671106,L,68.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",79.0,68.2,57.1,52.4,78.0,60.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,4,10,1,Contact streak: 4/10 over last 4 games,"platoon edge; pitcher baseline 15.5% barrel, 5.4 HR allowed",fly-ball profile; pitcher allows elevated contact,19.29,42.06,90.88,100.8733,0.7499,0.3655,0.508,74.17,54.58,38.58,42.33,0.7,0.3199,15.47,49.4,92.38,0.428,0.1845,32.53,L To R,84,Progressive Field,
4,669127,Shea Langeliers,ATH,WSH,2026-07-19T02:05:00Z,Pre-Game,3,Zack Littell,641793,R,66.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",58.4,67.7,71.4,96.6,50.0,43.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.89,44.9,91.53,102.5125,0.4987,0.2365,0.3511,74.78,49.33,39.81,30.96,24.7,0.2401,10.95,44.12,91.39,0.5154,0.2341,32.0,Out To LF,83,Sutter Health Park,
5,691016,Tyler Soderstrom,ATH,WSH,2026-07-19T02:05:00Z,Pre-Game,2,Zack Littell,641793,R,65.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",46.6,67.7,71.4,100.0,80.0,45.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.77,46.44,90.62,102.0502,0.4416,0.1834,0.3431,74.35,42.94,35.93,26.3,18.0,0.2218,10.95,44.12,91.39,0.5154,0.2341,32.0,Out To LF,83,Sutter Health Park,
6,682985,Riley Greene,DET,LAA,2026-07-19T02:07:00Z,Pre-Game,4,Grayson Rodriguez,680570,R,65.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.2,60.5,67.2,94.9,80.0,16.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.72,48.51,90.95,102.8018,0.4833,0.2277,0.3551,75.67,58.67,39.82,32.47,19.9,0.1937,8.7,51.0,91.4,0.531,0.22,28.8,Out To RF,80,Angel Stadium,
7,545361,Mike Trout,LAA,DET,2026-07-19T02:07:00Z,Pre-Game,2,Tarik Skubal,669373,L,64.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",70.7,29.4,67.2,100.0,78.0,63.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,18.6,49.09,90.83,103.4864,0.5314,0.2768,0.393,74.84,49.97,39.94,33.1,20.4,0.228,7.54,35.66,87.22,0.3538,0.1268,24.85,Out To RF,80,Angel Stadium,
8,805811,Bryce Eldridge,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,2,Bryan Woo,693433,R,63.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",72.8,41.4,38.4,100.0,80.0,54.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 14.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.53,58.93,93.36,103.7353,0.5044,0.2638,0.3685,73.04,28.23,42.96,36.14,6.3,0.1672,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
9,668804,Bryan Reynolds,PIT,CLE,2026-07-18T23:10:00Z,Warmup,3,Logan Allen,671106,L,62.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",46.0,67.6,57.1,96.6,75.0,50.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"switch hitter; pitcher baseline 15.5% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.1,46.91,90.99,102.004,0.4512,0.1925,0.3597,72.69,29.07,40.29,24.69,14.6,0.1829,15.47,49.4,92.38,0.428,0.1845,32.53,L To R,84,Progressive Field,
10,666126,Carlos Cortes,ATH,WSH,2026-07-19T02:05:00Z,Pre-Game,4,Zack Littell,641793,R,60.5,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",35.4,67.7,71.4,94.9,80.0,27.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,0,"Last 7 games: 6/20, 0 HR","platoon edge; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.36,41.9,89.87,100.2581,0.4269,0.1581,0.3315,70.82,14.46,30.69,23.64,5.4,0.1745,10.95,44.12,91.39,0.5154,0.2341,32.0,Out To LF,83,Sutter Health Park,
11,679529,Spencer Torkelson,DET,LAA,2026-07-19T02:07:00Z,Pre-Game,5,Grayson Rodriguez,680570,R,60.0,Longshot,Watch List,Strong Barrel,51.5,60.5,67.2,86.4,50.0,36.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 4.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.99,43.91,89.85,100.4677,0.421,0.2034,0.3214,73.07,25.14,47.98,36.25,20.5,0.2062,8.7,51.0,91.4,0.531,0.22,28.8,Out To RF,80,Angel Stadium,
12,693307,Dillon Dingler,DET,LAA,2026-07-19T02:07:00Z,Pre-Game,2,Grayson Rodriguez,680570,R,59.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",49.3,60.5,67.2,100.0,50.0,8.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.81,46.33,89.79,101.1126,0.5072,0.2193,0.3685,71.91,16.56,40.66,29.2,17.2,0.2149,8.7,51.0,91.4,0.531,0.22,28.8,Out To RF,80,Angel Stadium,
13,690993,Colt Keith,DET,LAA,2026-07-19T02:07:00Z,Pre-Game,3,Grayson Rodriguez,680570,R,59.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",37.5,60.5,67.2,96.6,80.0,38.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.36,42.72,89.3,100.2207,0.4342,0.1716,0.3284,71.61,17.0,38.78,27.91,9.5,0.1493,8.7,51.0,91.4,0.531,0.22,28.8,Out To RF,80,Angel Stadium,
14,671277,Luis García Jr.,WSH,ATH,2026-07-19T02:05:00Z,Pre-Game,2,J.T. Ginn,669372,R,59.3,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",48.7,33.3,71.4,100.0,80.0,66.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.19,46.57,91.39,101.8855,0.4987,0.2072,0.3537,73.24,34.44,40.1,21.84,18.8,0.237,7.56,37.57,87.56,0.3775,0.1428,23.64,Out To LF,83,Sutter Health Park,
15,681481,Kerry Carpenter,DET,LAA,2026-07-19T02:07:00Z,Pre-Game,6,Grayson Rodriguez,680570,R,59.3,Longshot,Watch List,"Strong Barrel, Platoon Edge",51.1,60.5,67.2,76.2,80.0,0.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,13,0,"Last 7 games: 0/13, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.62,47.5,90.84,100.0193,0.43,0.2074,0.3133,71.83,16.31,44.42,38.77,16.9,0.2373,8.7,51.0,91.4,0.531,0.22,28.8,Out To RF,80,Angel Stadium,
