rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,699013,Esmerlyn Valdez,PIT,PHI,2026-07-01T22:40:00Z,Pre-Game,4,Zack Wheeler,554430,R,72.7,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",93.8,26.5,83.8,94.9,50.0,100.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,21,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 7.0% barrel, 11.3 HR allowed",EV profile; pitcher fly-ball pressure modest,34.5,65.5,94.9,104.9403,0.665,0.405,0.42,75.2,51.7,24.1,44.8,6.0,0.458,6.99,35.01,87.26,0.3305,0.1275,25.53,Out To CF,95,Citizens Bank Park,
2,691406,Junior Caminero,TB,KC,2026-07-01T23:40:00Z,Pre-Game,3,Seth Lugo,607625,R,69.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",64.3,59.7,75.2,96.6,50.0,100.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,27,8,Hot streak: 8 HR in last 7 games,"same-side matchup; pitcher baseline 10.6% barrel, 15.1 HR allowed",EV profile; pitcher allows elevated contact,13.51,51.96,93.17,105.4879,0.5073,0.2348,0.3677,79.55,87.12,45.24,23.42,29.6,0.264,10.61,42.96,90.42,0.48,0.2086,30.65,Out To LF,92,Kauffman Stadium,
3,656941,Kyle Schwarber,PHI,PIT,2026-07-01T22:40:00Z,Pre-Game,2,Paul Skenes,694973,R,69.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",83.1,23.7,83.8,100.0,80.0,46.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 9.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.24,55.12,93.6,104.614,0.5537,0.3029,0.3912,77.16,76.19,55.54,35.49,37.8,0.3258,5.94,37.65,87.74,0.3189,0.1183,23.43,Out To CF,95,Citizens Bank Park,
4,670541,Yordan Alvarez,HOU,MIN,2026-07-02T00:10:00Z,Pre-Game,2,Taj Bradley,671737,R,69.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.3,50.8,40.1,100.0,80.0,31.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 14.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,17.65,53.46,94.56,105.1273,0.6631,0.3413,0.4525,76.03,60.83,40.74,36.59,20.0,0.2599,9.5,44.24,90.95,0.398,0.1631,30.17,None,70,Daikin Park,
5,677951,Bobby Witt Jr.,KC,TB,2026-07-01T23:40:00Z,Pre-Game,2,Shane McClanahan,663556,L,68.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.2,46.4,75.2,100.0,78.0,99.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.92,51.16,93.3,103.8254,0.5248,0.2206,0.3867,73.81,41.35,29.26,27.27,15.3,0.1913,9.6,41.8,90.1,0.413,0.166,26.4,Out To LF,92,Kauffman Stadium,
6,665742,Juan Soto,NYM,TOR,2026-07-01T19:07:00Z,In Progress,2,Braydon Fisher,680755,R,67.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",73.2,41.9,74.4,100.0,80.0,21.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","platoon edge; pitcher baseline 11.0% barrel, 5.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.54,51.94,93.38,103.383,0.6066,0.3056,0.4276,72.41,29.56,39.46,31.56,24.8,0.2641,11.03,38.43,87.89,0.3615,0.1461,29.95,Out To RF,86,Rogers Centre,
7,666018,Jonathan Aranda,TB,KC,2026-07-01T23:40:00Z,Pre-Game,2,Seth Lugo,607625,R,66.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",48.9,59.7,75.2,100.0,80.0,63.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,1,Contact streak: 11/25 over last 7 games,"platoon edge; pitcher baseline 10.6% barrel, 15.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.87,47.5,91.39,101.3691,0.4786,0.2023,0.3757,70.22,12.65,30.75,29.15,13.3,0.1765,10.61,42.96,90.42,0.48,0.2086,30.65,Out To LF,92,Kauffman Stadium,
8,695506,Jac Caglianone,KC,TB,2026-07-01T23:40:00Z,Pre-Game,3,Shane McClanahan,663556,L,63.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",64.7,46.4,75.2,96.6,50.0,40.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.22,53.74,92.55,105.3326,0.4954,0.2297,0.3581,77.26,73.5,41.13,23.1,11.9,0.1905,9.6,41.8,90.1,0.413,0.166,26.4,Out To LF,92,Kauffman Stadium,
9,657757,Gavin Sheets,SD,CHC,2026-07-01T18:20:00Z,In Progress,3,Colin Rea,607067,R,63.3,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",41.9,55.5,78.8,96.6,80.0,71.6,Yes,Yes,2,Yes,Yes,MLB Stats API; RotoWire,order MLB 3 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,17,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.18,45.03,89.48,100.4179,0.4369,0.1851,0.3358,74.45,47.42,40.17,24.26,15.5,0.2134,10.86,41.21,89.87,0.4639,0.1959,26.12,Out To CF,92,Wrigley Field,
10,621566,Matt Olson,ATL,STL,2026-07-01T23:15:00Z,Pre-Game,3,Michael McGreevy,700241,R,63.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.8,51.1,47.9,96.6,80.0,30.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 12.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.91,51.83,92.95,104.0674,0.5081,0.2531,0.3614,74.67,48.58,35.27,31.94,22.7,0.2407,9.01,40.1,89.8,0.4892,0.2012,25.43,In From LF,90,Truist Park,
