rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,592450,Aaron Judge,NYY,NYM,2026-09-12T17:35:00Z,Pre-Game,2,Zac Thornton,804267,L,71.6,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",89.6,46.9,61.2,100.0,78.0,12.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.07,57.64,94.42,105.6911,0.6206,0.345,0.422,76.34,66.58,41.62,34.2,27.8,0.2975,9.0,39.7,88.9,0.451,0.184,28.1,R To L,75,Yankee Stadium,
2,682985,Riley Greene,DET,COL,2026-09-12T17:10:00Z,Pre-Game,4,Tanner Gordon,685299,R,67.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.6,60.0,45.1,94.9,80.0,100.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.84,47.25,90.25,102.6361,0.5022,0.2459,0.3614,75.6,57.94,38.84,33.94,24.1,0.2098,10.45,41.83,90.52,0.4789,0.209,33.32,In From RF,79,Comerica Park,
3,665742,Juan Soto,NYM,NYY,2026-09-12T17:35:00Z,Pre-Game,2,Gerrit Cole,543037,R,66.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",69.9,46.9,61.2,100.0,80.0,30.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,1,"Last 7 games: 6/30, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 17.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.26,49.77,92.75,103.0245,0.5863,0.2951,0.4192,72.69,32.19,39.25,32.12,29.7,0.2536,8.7,44.0,90.7,0.393,0.147,27.4,R To L,75,Yankee Stadium,
4,665833,Oneil Cruz,PIT,CHC,2026-09-12T18:20:00Z,Pre-Game,1,Clay Holmes,605280,R,64.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",70.9,29.1,73.3,93.2,80.0,54.3,Yes,No,5,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 1 vs RotoWire 5,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,1,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 5.4% barrel, 7.7 HR allowed",EV profile; pitcher fly-ball pressure modest,17.09,55.48,95.17,106.7579,0.4663,0.2245,0.3464,78.24,75.82,39.88,23.31,18.6,0.1997,5.4,41.95,89.63,0.3765,0.1234,18.27,Out To RF,83,Wrigley Field,
5,808959,Munetaka Murakami,CWS,STL,2026-09-12T23:15:00Z,Scheduled,3,Kyle Leahy,681517,R,62.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",75.6,52.5,22.1,92.1,80.0,36.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 11.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.0,56.9,93.8,104.3516,0.455,0.254,0.344,74.8,50.8,45.3,38.8,31.0,0.267,9.94,46.69,90.71,0.4387,0.1698,23.17,,,Busch Stadium,
6,656941,Kyle Schwarber,PHI,ATL,2026-09-12T23:15:00Z,Scheduled,1,Tyler Mahle,641816,R,62.0,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",75.7,37.8,30.9,88.7,80.0,74.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 13.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.14,52.53,92.97,104.1943,0.5243,0.2826,0.3758,77.16,75.42,54.7,33.11,47.6,0.2957,7.09,38.22,89.55,0.4018,0.1495,26.84,,,Truist Park,
7,671218,Heliot Ramos,NYY,NYM,2026-09-12T17:35:00Z,Pre-Game,4,Zac Thornton,804267,L,61.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.8,46.9,61.2,94.9,78.0,72.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,14,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 11.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.37,49.22,92.15,103.0441,0.4373,0.1855,0.3263,72.99,32.4,33.1,23.58,14.0,0.1545,9.0,39.7,88.9,0.451,0.184,28.1,R To L,75,Yankee Stadium,
8,641343,Jake Bauers,MIL,CIN,2026-09-12T23:10:00Z,Scheduled,2,Brady Singer,663903,R,60.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.8,52.9,27.6,95.5,80.0,56.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 24.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,13.77,50.92,92.26,103.0644,0.4724,0.2223,0.3708,76.5,69.51,40.83,30.54,19.6,0.2067,9.47,42.17,90.86,0.4391,0.1751,26.65,,,American Family Field,
9,691718,Pete Crow-Armstrong,CHC,PIT,2026-09-12T18:20:00Z,Pre-Game,1,Paul Skenes,694973,R,60.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",57.2,28.2,73.3,93.2,80.0,63.1,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 13.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.17,46.78,90.27,101.858,0.4939,0.2386,0.3574,74.31,44.88,49.81,35.01,38.0,0.2725,6.57,38.77,87.95,0.3364,0.1239,22.38,Out To RF,83,Wrigley Field,
10,682987,Spencer Jones,NYY,NYM,2026-09-12T17:35:00Z,Pre-Game,6,Zac Thornton,804267,L,59.9,Longshot,Watch List,Strong Barrel,67.0,46.9,61.2,76.2,50.0,44.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,0,Contact streak: 10/24 over last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 11.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.6,55.9,94.3,104.5907,0.445,0.2,0.332,77.2,72.1,33.6,34.4,9.0,0.194,9.0,39.7,88.9,0.451,0.184,28.1,R To L,75,Yankee Stadium,
