rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,NYM,2026-06-21T23:20:00Z,Pre-Game,2,David Peterson,656849,L,71.0,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",83.5,36.4,76.8,100.0,50.0,93.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 6.7% barrel, 6.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,21.01,54.35,93.6,104.6059,0.5565,0.3085,0.3912,77.16,76.47,56.24,36.26,36.4,0.3356,6.68,44.11,90.04,0.4077,0.1391,17.47,Out To RF,85,Citizens Bank Park,
2,660271,Shohei Ohtani,LAD,BAL,2026-06-21T20:10:00Z,In Progress,1,Brandon Young,687064,R,70.3,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.8,42.1,61.6,93.2,80.0,67.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 7.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.3,55.55,94.13,104.3728,0.5965,0.3064,0.4229,74.96,52.59,48.73,33.53,27.7,0.2819,8.03,41.57,89.19,0.4215,0.1707,26.17,Out To CF,74,UNIQLO Field at Dodger Stadium,
3,665742,Juan Soto,NYM,PHI,2026-06-21T23:20:00Z,Pre-Game,3,Zack Wheeler,554430,R,68.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",74.6,29.5,76.8,96.6,80.0,81.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 10.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.82,51.94,93.52,103.5183,0.6101,0.3112,0.4241,72.62,30.75,38.69,32.61,24.8,0.2732,7.55,35.64,87.61,0.3368,0.1331,26.37,Out To RF,85,Citizens Bank Park,
4,701762,Nick Kurtz,ATH,LAA,2026-06-21T20:05:00Z,In Progress,2,Reid Detmers,672282,L,65.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",76.3,30.7,67.4,100.0,50.0,88.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 6.7 HR allowed",EV profile; pitcher fly-ball pressure modest,18.15,56.0,93.82,105.5544,0.5104,0.2612,0.3839,77.97,79.35,32.99,30.84,23.4,0.2793,7.15,37.9,89.54,0.3322,0.1201,27.15,Out To RF,83,Sutter Health Park,
5,624413,Pete Alonso,BAL,LAD,2026-06-21T20:10:00Z,In Progress,4,Emmet Sheehan,686218,R,63.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",68.7,45.4,61.6,94.9,50.0,51.3,Yes,Yes,3,Yes,Yes,MLB Stats API; RotoWire,order MLB 4 vs RotoWire 3,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.2% barrel, 10.5 HR allowed",EV profile; pitcher fly-ball pressure modest,14.0,54.82,94.2,103.8507,0.5279,0.2591,0.3734,74.88,49.55,37.13,30.81,23.3,0.2282,10.17,39.5,89.02,0.3859,0.1626,29.24,Out To CF,74,UNIQLO Field at Dodger Stadium,
6,518692,Freddie Freeman,LAD,BAL,2026-06-21T20:10:00Z,In Progress,4,Brandon Young,687064,R,58.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.0,42.1,61.6,94.9,80.0,56.2,Yes,Yes,3,Yes,Yes,MLB Stats API; RotoWire,order MLB 4 vs RotoWire 3,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 7.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.38,45.21,90.76,100.8385,0.4887,0.2133,0.3696,70.18,8.05,35.98,29.8,15.6,0.2007,8.03,41.57,89.19,0.4215,0.1707,26.17,Out To CF,74,UNIQLO Field at Dodger Stadium,
7,547180,Bryce Harper,PHI,NYM,2026-06-21T23:20:00Z,Pre-Game,3,David Peterson,656849,L,58.5,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",56.4,36.4,76.8,96.6,50.0,31.6,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 6.7% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.37,46.38,90.67,102.1822,0.5277,0.2478,0.3932,74.27,45.91,38.05,27.31,19.3,0.2407,6.68,44.11,90.04,0.4077,0.1391,17.47,Out To RF,85,Citizens Bank Park,
8,683002,Gunnar Henderson,BAL,LAD,2026-06-21T20:10:00Z,In Progress,3,Emmet Sheehan,686218,R,56.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",40.7,45.4,61.6,96.6,80.0,52.0,Yes,Yes,2,Yes,Yes,MLB Stats API; RotoWire,order MLB 3 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.2% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.88,46.61,90.28,101.279,0.4075,0.1616,0.3193,74.74,47.73,41.92,24.29,16.3,0.1878,10.17,39.5,89.02,0.3859,0.1626,29.24,Out To CF,74,UNIQLO Field at Dodger Stadium,
9,676724,Jared Young,NYM,PHI,2026-06-21T23:20:00Z,Pre-Game,4,Zack Wheeler,554430,R,56.5,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",49.7,29.5,76.8,94.9,80.0,19.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 10.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.81,44.69,88.45,101.5343,0.4497,0.2172,0.3261,73.51,35.28,42.52,25.55,4.0,0.2229,7.55,35.64,87.61,0.3368,0.1331,26.37,Out To RF,85,Citizens Bank Park,
10,571970,Max Muncy,LAD,BAL,2026-06-21T20:10:00Z,In Progress,7,Brandon Young,687064,R,56.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",62.0,42.1,61.6,64.3,80.0,8.5,Yes,Yes,5,Yes,Yes,MLB Stats API; RotoWire,order MLB 7 vs RotoWire 5,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 8.0% barrel, 7.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.21,48.35,90.67,101.9654,0.5194,0.2618,0.3831,71.34,12.89,53.46,34.46,16.9,0.2438,8.03,41.57,89.19,0.4215,0.1707,26.17,Out To CF,74,UNIQLO Field at Dodger Stadium,
