rank,player,team,opponent,batting_order,pitcher,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,Yordan Alvarez,HOU,LAA,2,Grayson Rodriguez,R,81.1,Tier 1,Best Overall,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",88.5,69.6,65.2,100.0,80.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,18.6,54.2,94.9,105.879464574,.737,.390,.493,76,60.1,44.7,38.4,22,0.334,10.3,50,91.3,.567,.262,32.8,Out To LF,74,Angel Stadium,
2,James Wood,WSH,SF,1,Logan Webb,R,70.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",91.4,31.7,53.8,93.2,80.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,25.5,58.6,96,106.689598462,.621,.344,.433,76.3,63.9,28,31.8,17,0.265,5.7,45.5,90.1,.381,.124,14.8,Out To CF,61,Oracle Park,
3,Jackson Chourio,MIL,ATH,2,Jeffrey Springs,L,69.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",68.3,44.2,80.6,100.0,78.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,17.2,49.4,92.7,103.187761591,.497,.253,.344,74.8,51.6,27.6,33.3,4,0.187,9.4,36.3,87.7,.417,.178,32.1,Out To CF,90,Las Vegas Ballpark,
4,Mike Trout,LAA,HOU,2,Spencer Arrighetti,R,63.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",78.9,24.4,65.2,100.0,50.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,20.9,51.6,91.7,103.713028354,.565,.307,.416,75.1,52.4,40.9,36.5,14,0.226,5.9,29.6,87.3,.387,.144,30.4,Out To LF,74,Angel Stadium,
5,Christian Walker,HOU,LAA,3,Grayson Rodriguez,R,63.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",47.9,69.6,65.2,96.6,50.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,12.2,45,90.2,101.733583684,.429,.190,.321,74.1,41.3,42.3,28,16,0.248,10.3,50,91.3,.567,.262,32.8,Out To LF,74,Angel Stadium,
6,LaMonte Wade Jr.,HOU,LAA,6,Grayson Rodriguez,R,63.3,Tier 3,Watch List,"Strong Barrel, Platoon Edge",47.7,69.6,65.2,76.2,80.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,14.3,42.9,82.8,98.0185275,.465,.253,.283,73.3,31.6,42.9,28.6,1,0.400,10.3,50,91.3,.567,.262,32.8,Out To LF,74,Angel Stadium,
7,Nick Kurtz,ATH,MIL,2,Kyle Harrison,L,63.3,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot",77.4,16.6,80.6,100.0,50.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,18.8,57.6,94.2,106.020995833,.511,.253,.399,78.1,80.3,32.6,28.5,12,0.220,5.1,28.5,88.6,.328,.095,26.3,Out To CF,90,Las Vegas Ballpark,
8,Jake Bauers,MIL,ATH,5,Jeffrey Springs,L,62.7,Tier 3,Watch List,"Strong Barrel, Good Environment",61.7,44.2,80.6,86.4,50.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,13.4,54.5,92.4,103.707532254,.485,.218,.365,77,75.4,41.3,27.3,11,0.235,9.4,36.3,87.7,.417,.178,32.1,Out To CF,90,Las Vegas Ballpark,
9,JJ Bleday,CIN,SD,2,Walker Buehler,R,61.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.1,39.8,55.1,100.0,80.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,12.4,50,90.5,101.744823396,.521,.237,.389,74.1,40.9,50.9,29.2,10,0.296,8.1,40.7,90.4,.425,.150,20.3,Out To RF,67,Petco Park,
10,Shea Langeliers,ATH,MIL,1,Kyle Harrison,L,60.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",62.9,16.6,80.6,93.2,78.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,15,44.6,91.6,102.81116567,.541,.256,.380,75.2,53,39.4,31.1,16,0.252,5.1,28.5,88.6,.328,.095,26.3,Out To CF,90,Las Vegas Ballpark,
11,Nathaniel Lowe,CIN,SD,4,Walker Buehler,R,60.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.9,39.8,55.1,94.9,80.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,14.3,43.7,89.4,102.028181837,.525,.249,.377,74.2,40.2,42.7,24.3,9,0.257,8.1,40.7,90.4,.425,.150,20.3,Out To RF,67,Petco Park,
12,Cam Smith,HOU,LAA,7,Grayson Rodriguez,R,58.9,Longshot,Watch List,Strong Barrel,48.8,69.6,65.2,64.3,50.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,12.8,44,89,102.107343467,.440,.197,.337,77,72.4,32,25.3,6,0.130,10.3,50,91.3,.567,.262,32.8,Out To LF,74,Angel Stadium,
13,Brent Rooker,ATH,MIL,4,Kyle Harrison,L,58.5,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",57.9,16.6,80.6,94.9,78.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,15.8,42.6,89.8,101.938254386,.447,.234,.320,74.1,41.6,39.1,40,10,0.194,5.1,28.5,88.6,.328,.095,26.3,Out To CF,90,Las Vegas Ballpark,
14,Collin Price,HOU,LAA,9,Grayson Rodriguez,R,58.2,Longshot,Watch List,No major boost,55.0,69.6,65.2,44.8,50.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,0,100,96.8,97.8586,.333,.233,.283,76.1,55.6,0,100,0,0.000,10.3,50,91.3,.567,.262,32.8,Out To LF,74,Angel Stadium,
15,Colby Thomas,ATH,MIL,3,Kyle Harrison,L,58.1,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",55.8,16.6,80.6,96.6,78.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,11.4,40,91.3,101.442800588,.497,.259,.333,75.8,58.3,34.3,37.1,2,0.171,5.1,28.5,88.6,.328,.095,26.3,Out To CF,90,Las Vegas Ballpark,
16,Ty France,SD,CIN,3,Andrew Abbott,L,58.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.3,40.7,55.1,96.6,78.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,12.1,48.9,91.3,102.132592174,.450,.200,.323,71.7,17.6,35.9,20.7,6,0.220,7.6,38.4,89.7,.438,.166,25.1,Out To RF,67,Petco Park,
17,Brice Turang,MIL,ATH,3,Jeffrey Springs,L,57.7,Longshot,Watch List,"Good Environment, Premium Lineup Spot",43.2,44.2,80.6,96.6,50.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,8.2,48.1,91.3,101.271929873,.462,.198,.372,70.2,9.9,24.4,23.8,9,0.199,9.4,36.3,87.7,.417,.178,32.1,Out To CF,90,Las Vegas Ballpark,
18,Garrett Mitchell,MIL,ATH,7,Jeffrey Springs,L,57.3,Longshot,Watch List,"Strong Barrel, Good Environment",55.9,44.2,80.6,64.3,50.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,14.6,51,92.8,104.393618958,.406,.182,.334,76.7,73.8,31.3,18.8,3,0.152,9.4,36.3,87.7,.417,.178,32.1,Out To CF,90,Las Vegas Ballpark,
19,William Contreras,MIL,ATH,4,Jeffrey Springs,L,57.2,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",34.4,44.2,80.6,94.9,78.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,6.8,41.7,89.9,100.690447087,.433,.154,.335,73.3,35.9,38.8,24.3,5,0.106,9.4,36.3,87.7,.417,.178,32.1,Out To CF,90,Las Vegas Ballpark,
20,Sal Stewart,CIN,SD,3,Walker Buehler,R,56.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",53.4,39.8,55.1,96.6,50.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,15.2,41.1,90.7,100.949244157,.475,.217,.359,72.2,26.4,29.2,27.6,12,0.203,8.1,40.7,90.4,.425,.150,20.3,Out To RF,67,Petco Park,
21,Max Muncy,ATH,MIL,5,Kyle Harrison,L,55.5,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",52.9,16.6,80.6,86.4,78.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,12.3,56.1,92.5,103.570102069,.391,.168,.303,74.6,54.3,47.4,26.3,2,0.163,5.1,28.5,88.6,.328,.095,26.3,Out To CF,90,Las Vegas Ballpark,
22,Fernando Tatis Jr.,SD,CIN,1,Andrew Abbott,L,55.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",42.6,40.7,55.1,93.2,78.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,10.3,51.1,90.5,103.937815543,.415,.132,.349,75.4,58.7,27.7,19,1,0.055,7.6,38.4,89.7,.438,.166,25.1,Out To RF,67,Petco Park,
23,Jeremy Peña,HOU,LAA,1,Grayson Rodriguez,R,54.8,Longshot,Watch List,Premium Lineup Spot,24.7,69.6,65.2,93.2,50.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,5.1,32.3,86,97.9821558,.480,.153,.375,72.2,11.7,44.4,29.3,3,0.139,10.3,50,91.3,.567,.262,32.8,Out To LF,74,Angel Stadium,
24,Jackson Merrill,SD,CIN,2,Andrew Abbott,L,54.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",44.6,40.7,55.1,100.0,50.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,10.3,46.4,89.8,100.624989506,.433,.190,.322,73.5,32.2,38,25.9,6,0.127,7.6,38.4,89.7,.438,.166,25.1,Out To RF,67,Petco Park,
25,CJ Abrams,WSH,SF,4,Logan Webb,R,54.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",45.2,31.7,53.8,94.9,80.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,10.9,41.6,90,100.390299239,.464,.197,.363,72.8,25.8,45.4,28.6,14,0.248,5.7,45.5,90.1,.381,.124,14.8,Out To CF,61,Oracle Park,
